Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,1 17,,,1 18,,,1 19,,,1 20,,,1 21,,,1 22,,,1 23,,,1 24,,,1 25,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
14,0,1611.26,-59.8023,22.9737,459.134,386.627,24.049,824.658,1020.45,32.0808,1621.72,429.582,28.6729,1139,443.574,26.1557,2226.88,738.4,30.2674,2274.69,-57.0824,34.4223,546.092,-353.306,28.3014,1896.33,-658.459,33.5766,1563.62,1126.72,26.3047,1125.54,-50.647,23.8936,1235.3,-721.154,21.4145,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1611.26,-59.7801,23.0209,459.131,386.674,24.0375,824.715,1020.4,32.0989,1621.71,429.566,28.6782,1139,443.58,26.1422,2227.07,738.004,30.8109,2274.67,-57.037,34.3674,546.131,-353.317,28.331,1896.36,-658.52,33.7409,1563.59,1126.76,26.288,1125.5,-50.6269,23.9026,1235.19,-721.08,21.3499,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,1611.18,-59.8753,22.8521,459.198,386.649,24.1129,824.649,1020.47,32.0837,1621.85,429.719,28.7058,1138.99,443.56,26.1697,2226.92,738.372,30.3721,2274.72,-57.0588,34.4288,546.414,-353.662,28.3761,1896.25,-658.414,33.3069,1563.61,1126.74,26.3174,1124.6,-51.0684,23.3659,1235.31,-721.218,21.3664,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,1611.25,-59.7973,22.9875,459.035,386.674,24.0316,824.64,1020.47,32.1021,1621.7,429.587,28.6725,1138.99,443.543,26.1464,2227.05,737.974,30.7969,2274.67,-57.0652,34.3097,546.05,-353.315,28.2912,1896.3,-658.459,33.6581,1563.67,1126.75,26.3651,1124.56,-51.0809,23.3615,1235.21,-721.144,21.3119,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1611.25,-59.7921,22.9999,459.151,386.647,24.0352,824.68,1020.45,32.0869,1621.7,429.569,28.6632,1138.98,443.56,26.1437,2227.04,737.981,30.7835,2274.69,-57.0715,34.4012,546.042,-353.281,28.2773,1896.23,-658.359,33.3553,1563.63,1126.73,26.3145,1125.44,-50.6567,23.8234,1235.1,-721.24,21.2455,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,1611.18,-59.8988,22.8508,459.168,386.574,23.9846,824.671,1020.47,32.1124,1621.71,429.57,28.6788,1139.03,443.539,26.157,2226.94,738.357,30.3933,2274.71,-57.0435,34.3355,546.402,-353.661,28.4187,1896.32,-658.534,33.8247,1563.59,1126.75,26.2732,1124.52,-51.0662,23.3666,1235.29,-721.203,21.4258,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,1611.25,-59.796,22.9843,459.156,386.645,24.1121,824.662,1020.45,32.0557,1621.69,429.576,28.6779,1138.99,443.567,26.1504,2227.08,737.985,30.8153,2274.68,-57.063,34.3281,546.375,-353.671,28.4447,1896.34,-658.531,33.6754,1563.61,1126.75,26.3085,1125.57,-50.6091,23.9183,1235.25,-721.171,21.4101,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1611.19,-59.7868,23.1736,459.069,386.65,23.9753,824.694,1020.42,32.1248,1621.86,429.721,28.695,1138.96,443.56,26.1286,2227.05,737.945,30.7823,2274.67,-57.0772,34.4117,546.345,-353.659,28.4704,1896.34,-658.404,33.4305,1563.63,1126.74,26.3245,1124.59,-51.0626,23.3264,1235.11,-721.278,21.3508,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,1611.16,-59.8753,22.8652,459.211,386.646,24.1512,824.665,1020.44,32.1423,1621.7,429.573,28.6816,1138.99,443.564,26.1413,2226.88,738.392,30.2902,2274.67,-57.0547,34.3359,546.096,-353.342,28.347,1896.37,-658.461,33.6461,1563.65,1126.72,26.3295,1125.55,-50.632,23.8852,1235.16,-721.185,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,1611.14,-59.9292,23.0376,459.153,386.665,24.0425,824.664,1020.46,32.0675,1621.71,429.577,28.6784,1138.97,443.558,26.1534,2227.07,737.951,30.8059,2274.73,-57.0327,34.391,546.159,-353.337,28.2924,1896.25,-658.345,33.3084,1563.64,1126.72,26.339,1124.59,-51.0557,23.3515,1235.09,-721.162,21.2381,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,1611.26,-59.7908,22.9978,459.063,386.659,23.9556,824.62,1020.45,32.0724,1621.69,429.593,28.6691,1139.02,443.577,26.1466,2227.08,737.969,30.8307,2274.72,-57.0727,34.4142,546.176,-353.323,28.2778,1896.24,-658.354,33.3518,1563.6,1126.78,26.2488,1125.49,-50.5971,23.8622,1235.15,-721.12,21.3384,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,1611.25,-59.7969,22.999,459.148,386.659,24.0692,824.666,1020.46,32.1256,1621.68,429.59,28.6818,1138.97,443.564,26.1679,2227.05,737.975,30.8266,2274.66,-57.0713,34.3806,546.159,-353.311,28.3184,1896.26,-658.398,33.4875,1563.6,1126.74,26.3092,1125.49,-50.6506,23.8782,1235.09,-721.196,21.351,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1611.18,-59.8962,22.8755,459.061,386.635,24.027,824.719,1020.42,32.1195,1621.68,429.58,28.688,1139,443.564,26.1585,2226.9,738.387,30.3207,2274.67,-57.0722,34.3619,545.973,-353.228,28.3149,1896.29,-658.35,33.3587,1563.61,1126.73,26.3068,1124.56,-51.0522,23.3688,1235.2,-721.281,21.4563,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,1611.25,-59.8014,23.0189,459.135,386.674,24.0573,824.655,1020.46,32.1151,1621.69,429.561,28.6501,1138.98,443.546,26.1151,2226.91,738.374,30.3199,2274.8,-57.0438,34.5344,545.945,-353.168,28.2716,1896.23,-658.299,33.2143,1563.63,1126.75,26.317,1125.49,-50.6239,23.9004,1235.43,-721.07,21.2898,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,1611.17,-59.8905,22.8641,459.108,386.67,24.0261,824.687,1020.44,32.1167,1621.7,429.582,28.685,1138.99,443.588,26.1279,2226.89,738.36,30.3037,2274.69,-57.0799,34.3701,545.948,-353.144,28.3079,1896.27,-658.388,33.3493,1563.61,1126.77,26.2798,1124.65,-51.0534,23.3367,1235.33,-721.109,21.3248,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,1611.17,-59.8609,22.8485,459.098,386.671,24.0239,824.662,1020.42,32.0763,1621.69,429.573,28.6917,1138.99,443.551,26.1034,2226.91,738.345,30.3276,2274.73,-57.0673,34.4244,545.968,-353.227,28.3081,1896.25,-658.362,33.2077,1563.62,1126.76,26.2965,1125.56,-50.6444,23.9256,1235.23,-721.156,21.387,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,1611.17,-59.8922,22.865,459.188,386.64,24.1209,824.663,1020.43,32.0622,1621.67,429.568,28.6804,1138.97,443.563,26.1371,2227.04,737.957,30.8126,2274.63,-57.1165,34.3745,545.976,-353.2,28.3167,1896.28,-658.364,33.3628,1563.63,1126.72,26.332,1124.55,-51.0774,23.3319,1235.33,-721.157,21.3911,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,1611.17,-59.8645,22.8737,459.156,386.604,24.0559,824.67,1020.43,32.0877,1621.67,429.553,28.6797,1138.98,443.542,26.1601,2226.88,738.398,30.296,2274.7,-57.0586,34.3679,545.979,-353.192,28.304,1896.35,-658.598,33.8488,1563.65,1126.74,26.3547,1125.51,-50.647,23.8793,1235.25,-721.168,21.3095,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,1611.18,-59.8962,22.8757,459.162,386.631,24.0673,824.703,1020.43,32.0821,1621.68,429.543,28.6962,1138.99,443.544,26.1348,2226.91,738.374,30.3301,2274.79,-56.9754,34.4112,545.961,-353.15,28.2804,1896.33,-658.456,33.4773,1563.66,1126.74,26.3464,1125.48,-50.6388,23.8578,1235.34,-721.097,21.4173,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,1611.24,-59.7871,23.0036,459.162,386.6,24.0449,824.685,1020.45,32.1128,1621.67,429.538,28.681,1139.02,443.588,26.1442,2226.88,738.429,30.25,2274.72,-57.0783,34.415,546.054,-353.273,28.264,1896.23,-658.346,33.2956,1563.65,1126.74,26.3142,1125.51,-50.5841,23.9035,1235.5,-721.068,21.3561,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,1611.25,-59.7881,22.9989,459.161,386.648,24.1003,824.692,1020.44,32.1144,1621.65,429.557,28.6448,1138.98,443.572,26.1313,2226.91,738.396,30.3156,2274.7,-57.0586,34.3778,546.082,-353.248,28.2788,1896.35,-658.507,33.7434,1563.63,1126.76,26.3439,1125.54,-50.6161,23.8665,1235.35,-721.194,21.3369,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,1611.25,-59.797,22.9881,459.032,386.663,23.9838,824.652,1020.46,32.086,1621.68,429.539,28.6568,1138.97,443.564,26.1003,2227.08,737.977,30.8221,2274.65,-57.0527,34.3009,546.05,-353.168,28.3354,1896.24,-658.355,33.2813,1563.66,1126.75,26.3552,1125.48,-50.6328,23.8706,1235.37,-721.125,21.4124,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,1611.26,-59.81,22.9602,459.077,386.637,24.0479,824.679,1020.44,32.1141,1621.65,429.531,28.6797,1138.98,443.547,26.1232,2227.07,737.979,30.8133,2274.66,-57.0469,34.3796,546.063,-353.234,28.2924,1896.34,-658.463,33.5084,1563.64,1126.74,26.3338,1125.51,-50.6438,23.9015,1235.28,-721.143,21.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,
