Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,1 17,,,1 18,,,1 19,,,1 20,,,1 21,,,1 22,,,1 23,,,1 24,,,1 25,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1862,0,1611.25,-59.7849,22.9662,459.178,386.637,24.0841,824.82,1020.31,32.1731,1621.68,429.587,28.6913,1138.98,443.578,26.1633,2226.9,738.384,30.37,2274.78,-57.0421,34.479,546.371,-353.661,28.4569,1896.2,-658.299,33.1826,1563.65,1126.71,26.3469,1125.55,-50.6182,23.9493,1235.45,-721.035,21.2359,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,0,1611.18,-59.8124,23.1688,459.122,386.64,24.0934,824.651,1020.47,32.1256,1621.86,429.724,28.73,1138.99,443.56,26.1835,2226.92,738.327,30.4035,2274.71,-57.0205,34.3594,546.38,-353.645,28.4266,1896.3,-658.482,33.5899,1563.66,1126.73,26.3997,1124.64,-51.0506,23.3858,1235.3,-721.109,21.4084,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,0,1611.28,-59.7656,23.0688,459.093,386.668,24.0658,824.737,1020.39,32.1282,1621.71,429.582,28.7005,1138.96,443.558,26.1563,2226.93,738.348,30.3746,2274.72,-57.0542,34.429,546.179,-353.266,28.3377,1896.23,-658.369,33.4056,1563.66,1126.78,26.3798,1125.59,-50.5711,23.9368,1235.32,-721.101,21.2518,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,0,1611.26,-59.7693,23.0217,459.07,386.656,24.0417,824.614,1020.47,32.0462,1621.69,429.591,28.6742,1138.97,443.586,26.1388,2226.89,738.406,30.3142,2274.67,-57.058,34.2979,546.059,-353.282,28.2865,1896.29,-658.406,33.4524,1563.64,1126.77,26.3222,1124.56,-51.0775,23.3035,1235.47,-721.038,21.3449,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,0,1611.29,-59.7565,23.0698,459.084,386.674,24.0806,824.691,1020.42,32.1093,1621.71,429.568,28.6893,1138.97,443.558,26.1634,2226.87,738.402,30.2732,2274.69,-57.0399,34.347,546.015,-353.31,28.2499,1896.3,-658.407,33.3958,1563.65,1126.76,26.3137,1125.47,-50.6339,23.8596,1235.3,-721.105,21.4146,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,0,1611.29,-59.7292,23.0921,459.074,386.655,24.0189,824.694,1020.41,32.0894,1621.86,429.696,28.7277,1138.98,443.573,26.1545,2227.07,737.981,30.8571,2274.65,-57.0566,34.3595,546.061,-353.238,28.3254,1896.24,-658.372,33.3259,1563.62,1126.75,26.3272,1125.51,-50.5626,23.9315,1235.24,-721.198,21.2993,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,0,1611.19,-59.9003,22.9015,459.152,386.632,24.0196,824.658,1020.45,32.0949,1621.69,429.577,28.6974,1138.99,443.557,26.1505,2227.06,737.975,30.8306,2274.7,-57.0603,34.3271,546.358,-353.668,28.445,1896.34,-658.496,33.6193,1563.64,1126.75,26.3345,1125.52,-50.6825,23.8851,1235.29,-721.103,21.3559,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,0,1611.17,-59.8666,22.843,459.128,386.629,24.0738,824.671,1020.47,32.1335,1621.71,429.582,28.6853,1139.01,443.573,26.1672,2226.91,738.407,30.3128,2274.69,-57.0412,34.3529,546.157,-353.245,28.3509,1896.27,-658.369,33.4829,1563.7,1126.72,26.4284,1125.49,-50.6364,23.8798,1235.45,-721.11,21.4454,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,0,1611.25,-59.8012,22.986,459.196,386.615,24.0393,824.715,1020.45,32.1208,1621.71,429.587,28.6702,1138.98,443.583,26.1494,2227.07,738.01,30.7958,2274.74,-57.0498,34.4022,546.131,-353.289,28.3164,1896.29,-658.374,33.4046,1563.62,1126.73,26.3398,1124.62,-51.0261,23.3742,1235.34,-721.123,21.318,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,0,1611.17,-59.8897,22.8456,459.083,386.666,24.0092,824.666,1020.45,32.1103,1621.7,429.569,28.6877,1138.98,443.582,26.1382,2226.89,738.352,30.3382,2274.67,-57.0619,34.349,546.112,-353.293,28.35,1896.28,-658.425,33.309,1563.63,1126.75,26.2943,1125.49,-50.6415,23.8733,1235.39,-721.143,21.565,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,0,1611.24,-59.7907,23.0192,459.187,386.657,24.108,824.661,1020.46,32.1628,1621.69,429.56,28.6991,1139.01,443.55,26.1931,2227.05,737.994,30.8096,2274.66,-57.0838,34.3625,546.385,-353.658,28.4007,1896.35,-658.537,33.7051,1563.64,1126.73,26.3113,1124.53,-51.0462,23.359,1235.26,-721.183,21.3481,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,0,1611.16,-59.874,22.8583,459.125,386.669,24.062,824.681,1020.46,32.1226,1621.84,429.731,28.7078,1138.99,443.573,26.1584,2226.9,738.398,30.33,2274.65,-57.1112,34.3626,545.969,-353.218,28.3039,1896.21,-658.349,33.2483,1563.64,1126.71,26.3195,1125.52,-50.6465,23.8909,1235.49,-721.07,21.4001,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,0,1611.17,-59.8776,22.8574,459.122,386.675,24.0624,824.705,1020.46,32.0556,1621.7,429.585,28.6925,1139,443.574,26.1401,2226.9,738.399,30.3247,2274.67,-57.0815,34.3436,546.362,-353.653,28.3903,1896.31,-658.48,33.6091,1563.65,1126.74,26.3628,1125.46,-50.6292,23.8731,1235.39,-721.093,21.3884,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,0,1611.18,-59.9022,22.8108,459.147,386.67,24.0349,824.7,1020.44,32.0937,1621.71,429.594,28.6857,1138.99,443.572,26.145,2227.06,737.968,30.8016,2274.62,-57.0737,34.3348,546.061,-353.272,28.2885,1896.29,-658.428,33.4395,1563.65,1126.75,26.349,1125.51,-50.5938,23.8908,1235.4,-721.154,21.3958,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,0,1611.26,-59.7998,22.9791,459.087,386.713,24.0394,824.668,1020.46,32.1089,1621.88,429.716,28.7252,1138.98,443.572,26.1674,2227.09,737.985,30.8248,2274.64,-57.0807,34.3511,546.137,-353.336,28.2979,1896.31,-658.404,33.4376,1563.62,1126.73,26.2823,1125.56,-50.6262,23.8972,1235.34,-721.14,21.387,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,0,1611.26,-59.788,22.9843,459.112,386.667,24.0765,824.709,1020.45,32.1237,1621.69,429.593,28.7104,1139.01,443.539,26.1994,2226.86,738.348,30.3321,2274.7,-57.0767,34.432,546.143,-353.306,28.3106,1896.28,-658.363,33.4244,1563.66,1126.72,26.3747,1124.55,-51.1247,23.3514,1235.55,-721.044,21.4563,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,0,1611.23,-59.8054,22.9746,459.223,386.624,24.1072,824.686,1020.42,32.1034,1621.7,429.574,28.6993,1139.01,443.554,26.1871,2227.07,737.964,30.8287,2274.66,-57.0764,34.4128,546.069,-353.277,28.2942,1896.19,-658.335,33.2454,1563.64,1126.75,26.3658,1124.57,-51.0891,23.3534,1235.49,-721.072,21.4399,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,0,1611.16,-59.8776,22.8578,459.019,386.684,24.0074,824.711,1020.41,32.1108,1621.69,429.598,28.6558,1138.97,443.552,26.1617,2227.08,737.981,30.8189,2274.68,-57.0824,34.3408,546.043,-353.299,28.2747,1896.31,-658.437,33.5389,1563.63,1126.76,26.3458,1124.53,-51.0372,23.3408,1235.6,-721.038,21.4422,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,0,1611.16,-59.8413,23.1226,459.145,386.644,24.1051,824.719,1020.42,32.088,1621.69,429.586,28.682,1139.01,443.583,26.137,2227.07,737.987,30.8043,2274.69,-57.0326,34.341,546.401,-353.702,28.4185,1896.27,-658.389,33.3475,1563.67,1126.76,26.3431,1124.55,-51.0703,23.3049,1235.29,-721.17,21.3546,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,0,1611.16,-59.8806,22.8721,459.168,386.646,24.051,824.649,1020.47,32.1073,1621.68,429.595,28.6832,1139.02,443.574,26.1602,2226.9,738.402,30.3211,2274.64,-57.072,34.3234,546.081,-353.325,28.3084,1896.27,-658.421,33.4676,1563.6,1126.77,26.321,1124.6,-51.0908,23.3465,1235.54,-721.022,21.4319,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,0,1611.16,-59.8783,22.8963,459.19,386.668,24.1138,824.722,1020.41,32.092,1621.68,429.567,28.6892,1138.97,443.548,26.138,2226.89,738.393,30.3384,2274.65,-57.0688,34.3881,546.2,-353.277,28.3393,1896.39,-658.513,33.6091,1563.68,1126.73,26.408,1124.48,-51.0036,23.3555,1235.35,-721.058,21.3761,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,0,1611.17,-59.8848,22.896,459.148,386.665,24.0836,824.701,1020.44,32.1063,1621.68,429.557,28.685,1139,443.567,26.1747,2226.89,738.392,30.2985,2274.62,-57.0892,34.4188,546.006,-353.238,28.287,1896.32,-658.554,33.8078,1563.68,1126.74,26.3791,1124.56,-51.0904,23.3118,1235.35,-721.18,21.3879,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,0,1611.17,-59.8728,22.8871,459.086,386.651,24.0221,824.696,1020.44,32.0919,1621.87,429.712,28.7111,1139.02,443.552,26.1575,2226.93,738.317,30.3907,2274.68,-57.0593,34.3061,546.095,-353.294,28.2796,1896.31,-658.459,33.5917,1563.68,1126.72,26.3766,1124.5,-51.0841,23.2958,1235.34,-721.115,21.3526,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,0,1611.24,-59.7954,22.9901,459.079,386.627,24.0059,824.659,1020.43,32.0513,1621.69,429.575,28.6816,1139,443.551,26.1176,2227.06,737.959,30.8179,2274.68,-57.0703,34.4276,545.99,-353.243,28.2873,1896.26,-658.42,33.4139,1563.63,1126.76,26.2354,1125.46,-50.6142,23.8509,1235.3,-721.142,21.2842,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,0,1611.16,-59.8875,22.8426,459.096,386.648,24.0147,824.662,1020.45,32.105,1621.69,429.589,28.6899,1138.98,443.556,26.1501,2226.91,738.392,30.3406,2274.7,-57.0839,34.409,546.069,-353.299,28.3109,1896.3,-658.407,33.5307,1563.61,1126.75,26.306,1125.53,-50.602,23.9546,1235.49,-721.051,21.3742,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,0,1611.13,-59.9164,23.028,459.081,386.691,24.0996,824.675,1020.42,32.1586,1621.7,429.569,28.7047,1138.99,443.586,26.1477,2226.92,738.399,30.3603,2274.7,-57.0252,34.3855,546.13,-353.248,28.3613,1896.35,-658.535,33.8426,1563.64,1126.73,26.3384,1125.47,-50.6448,23.8862,1235.29,-721.121,21.3298,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,0,1611.24,-59.7998,22.9983,459.204,386.637,24.0923,824.655,1020.46,32.0678,1621.87,429.709,28.7277,1138.98,443.545,26.1722,2226.9,738.379,30.3513,2274.65,-57.0617,34.3504,546.155,-353.24,28.3363,1896.22,-658.318,33.273,1563.63,1126.74,26.3751,1125.54,-50.6202,23.9295,1235.6,-721.051,21.4263,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,0,1611.16,-59.8843,22.8645,459.168,386.659,24.1121,824.683,1020.41,32.1009,1621.85,429.721,28.7163,1138.97,443.563,26.1386,2226.92,738.396,30.3443,2274.69,-57.0489,34.3382,546.142,-353.248,28.2859,1896.34,-658.475,33.5625,1563.64,1126.74,26.3491,1125.53,-50.6185,23.8868,1235.29,-721.106,21.4263,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,0,1611.16,-59.8757,22.8701,459.052,386.706,24.0621,824.707,1020.39,32.1039,1621.7,429.58,28.6809,1138.99,443.574,26.1678,2227.07,738.019,30.7963,2274.68,-57.0732,34.3331,545.976,-353.194,28.2829,1896.32,-658.476,33.6639,1563.59,1126.77,26.3178,1125.52,-50.591,23.89,1235.36,-721.147,21.3536,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,0,1611.16,-59.8795,22.8728,459.269,386.63,24.1051,824.665,1020.43,32.1077,1621.69,429.586,28.6804,1138.97,443.54,26.1445,2227.08,737.998,30.8299,2274.67,-57.0708,34.3716,545.969,-353.167,28.2882,1896.4,-658.5,33.6277,1563.64,1126.74,26.3451,1125.51,-50.6207,23.9198,1235.29,-721.115,21.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,0,1611.26,-59.7898,23.0227,459.056,386.7,24.0533,824.642,1020.46,32.0614,1621.7,429.583,28.677,1138.97,443.531,26.1411,2226.88,738.415,30.2868,2274.67,-57.0632,34.428,546.052,-353.245,28.3323,1896.29,-658.451,33.4643,1563.65,1126.75,26.3608,1125.54,-50.6341,23.9036,1235.42,-721.164,21.3657,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,0,1611.25,-59.789,22.9998,459.102,386.674,24.0273,824.638,1020.48,32.0926,1621.68,429.587,28.6896,1139,443.539,26.2055,2227.06,737.97,30.8373,2274.76,-57.0313,34.4416,545.946,-353.146,28.2771,1896.22,-658.322,33.319,1563.66,1126.73,26.3535,1125.56,-50.5939,23.9052,1235.36,-721.152,21.3587,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,0,1611.25,-59.7743,22.9962,459.227,386.606,24.0343,824.667,1020.46,32.1192,1621.87,429.717,28.7187,1139.01,443.572,26.1545,2226.9,738.42,30.2968,2274.59,-57.0687,34.3079,546.406,-353.675,28.4222,1896.26,-658.364,33.4433,1563.62,1126.75,26.2972,1124.59,-51.0398,23.3912,1235.25,-721.139,21.3163,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,0,1611.26,-59.7903,22.9837,459.077,386.667,24.0211,824.661,1020.44,32.1036,1621.7,429.584,28.6899,1139.01,443.543,26.2025,2226.89,738.391,30.2996,2274.8,-56.9832,34.4509,546.157,-353.309,28.3058,1896.25,-658.322,33.38,1563.64,1126.71,26.3402,1125.48,-50.6249,23.8333,1235.38,-721.138,21.5253,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,0,1611.26,-59.7803,23.0139,459.067,386.686,24.0714,824.686,1020.46,32.096,1621.7,429.571,28.6961,1138.99,443.561,26.1657,2227.08,737.987,30.8537,2274.61,-57.0732,34.2686,546.031,-353.247,28.2892,1896.36,-658.521,33.7207,1563.65,1126.76,26.3319,1124.63,-51.052,23.3851,1235.41,-721.082,21.3186,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,0,1611.29,-59.7766,23.0878,459.095,386.617,24.0145,824.68,1020.44,32.1303,1621.68,429.586,28.7003,1139.01,443.542,26.1674,2226.87,738.403,30.3023,2274.69,-57.0484,34.3708,546.437,-353.681,28.3494,1896.18,-658.381,33.2421,1563.67,1126.72,26.3734,1125.5,-50.6252,23.8922,1235.41,-721.096,21.3257,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,0,1611.28,-59.7836,23.0341,459.076,386.679,24.053,824.684,1020.46,32.1256,1621.7,429.579,28.6977,1138.99,443.555,26.1892,2226.88,738.368,30.3218,2274.74,-57.0611,34.47,546.378,-353.658,28.4257,1896.28,-658.43,33.6261,1563.63,1126.73,26.3305,1124.59,-51.0946,23.3524,1235.31,-721.128,21.3342,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,0,1611.29,-59.7451,23.0334,459.077,386.667,24.0567,824.71,1020.44,32.0757,1621.7,429.575,28.6846,1138.97,443.547,26.1297,2226.92,738.387,30.3386,2274.81,-56.9746,34.4468,546.02,-353.252,28.2982,1896.24,-658.293,33.1945,1563.65,1126.72,26.3641,1124.6,-51.0477,23.3439,1235.25,-721.117,21.3187,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,0,1611.18,-59.8725,22.8524,459.064,386.692,24.0149,824.66,1020.41,32.0933,1621.67,429.577,28.6646,1138.99,443.584,26.1289,2227.05,737.999,30.7809,2274.75,-57.0467,34.4181,546.329,-353.667,28.4335,1896.3,-658.384,33.3978,1563.64,1126.76,26.3409,1124.6,-51.059,23.3321,1235.33,-721.135,21.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,0,1611.25,-59.7886,22.9855,459.245,386.619,24.0862,824.649,1020.45,32.1191,1621.69,429.575,28.695,1138.97,443.55,26.1796,2226.92,738.335,30.3781,2274.71,-57.0155,34.4025,546.432,-353.681,28.39,1896.28,-658.377,33.5205,1563.64,1126.76,26.3358,1125.5,-50.6379,23.8791,1235.4,-721.119,21.4883,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,0,1611.16,-59.8895,22.844,459.138,386.663,24.101,824.683,1020.44,32.1138,1621.85,429.727,28.7171,1139.02,443.563,26.1435,2227.07,737.993,30.8293,2274.7,-57.0332,34.3952,546.344,-353.649,28.4584,1896.34,-658.503,33.8249,1563.66,1126.75,26.3552,1124.58,-51.0609,23.3597,1235.19,-721.174,21.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,0,1611.25,-59.7938,22.9722,459.193,386.622,24.0908,824.752,1020.37,32.1095,1621.71,429.576,28.6762,1139.02,443.54,26.1617,2226.91,738.4,30.3216,2274.66,-57.0829,34.3986,546.167,-353.317,28.2926,1896.23,-658.373,33.3636,1563.65,1126.74,26.3393,1125.47,-50.6166,23.8808,1235.24,-721.126,21.3808,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,0,1611.17,-59.8832,22.8276,459.144,386.625,24.0325,824.677,1020.44,32.1036,1621.69,429.589,28.6749,1138.99,443.57,26.1379,2226.89,738.426,30.285,2274.61,-57.0794,34.3057,546.033,-353.259,28.2834,1896.27,-658.414,33.4286,1563.62,1126.76,26.3372,1124.6,-51.0695,23.3472,1235.16,-721.217,21.2658,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,0,1611.17,-59.8755,22.835,459.12,386.656,24.0438,824.694,1020.45,32.0995,1621.71,429.596,28.6872,1138.98,443.577,26.1183,2226.88,738.411,30.2994,2274.74,-56.9985,34.3766,546.031,-353.273,28.3216,1896.26,-658.423,33.4261,1563.62,1126.77,26.2838,1124.5,-51.053,23.3247,1235.33,-721.155,21.314,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,0,1611.26,-59.7824,23.0195,459.196,386.622,24.1119,824.683,1020.45,32.1115,1621.69,429.578,28.7041,1138.98,443.556,26.14,2226.92,738.377,30.3698,2274.75,-57.0302,34.4399,546.026,-353.231,28.2914,1896.29,-658.382,33.5334,1563.63,1126.73,26.3589,1125.52,-50.5331,23.9663,1235.09,-721.162,21.2505,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,0,1611.17,-59.8783,22.8712,459.149,386.64,24.0291,824.679,1020.47,32.0904,1621.71,429.573,28.715,1138.99,443.564,26.1192,2226.93,738.347,30.408,2274.72,-57.0128,34.4344,546.087,-353.294,28.3508,1896.27,-658.382,33.3881,1563.69,1126.74,26.3751,1124.55,-51.0657,23.3565,1235.23,-721.117,21.3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,0,1611.17,-59.8869,22.8432,459.102,386.691,23.9975,824.678,1020.45,32.1021,1621.69,429.568,28.6885,1139,443.512,26.1684,2226.92,738.356,30.3694,2274.68,-57.0467,34.3707,546.046,-353.265,28.3937,1896.24,-658.301,33.3019,1563.68,1126.74,26.3698,1124.57,-51.095,23.3636,1235.16,-721.182,21.2979,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,0,1611.18,-59.887,22.8505,459.2,386.619,24.0789,824.741,1020.4,32.125,1621.68,429.575,28.6836,1139.03,443.545,26.134,2227.08,737.983,30.828,2274.69,-57.0507,34.3643,546.025,-353.273,28.298,1896.22,-658.36,33.3724,1563.64,1126.74,26.3458,1125.5,-50.6387,23.8732,1235.15,-721.259,21.2978,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,0,1611.27,-59.794,22.9994,459.168,386.627,24.0707,824.662,1020.47,32.1069,1621.67,429.565,28.68,1139.01,443.558,26.1417,2227.07,737.986,30.8051,2274.7,-57.0521,34.3594,545.928,-353.139,28.273,1896.23,-658.308,33.1857,1563.66,1126.73,26.3781,1124.61,-51.0751,23.3364,1235.24,-721.201,21.405,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,0,1611.19,-59.8815,22.8464,459.089,386.647,24.0454,824.752,1020.38,32.1164,1621.7,429.552,28.7177,1139,443.552,26.1295,2227.07,737.969,30.8381,2274.7,-57.0249,34.3701,545.895,-353.134,28.2495,1896.32,-658.477,33.5716,1563.64,1126.76,26.338,1124.59,-51.1012,23.3522,1235.08,-721.271,21.2097,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,0,1611.18,-59.9046,22.8402,459.091,386.643,24.0415,824.677,1020.44,32.1013,1621.66,429.556,28.6891,1138.98,443.558,26.1337,2227.07,738.007,30.8209,2274.76,-57.0633,34.46,545.984,-353.16,28.314,1896.26,-658.329,33.3596,1563.68,1126.71,26.3986,1125.53,-50.6199,23.9035,1235.26,-721.209,21.3572,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,0,1611.17,-59.8899,22.8411,459.18,386.608,24.0475,824.697,1020.42,32.1203,1621.66,429.557,28.6975,1138.98,443.589,26.1408,2226.92,738.356,30.3729,2274.79,-57.0157,34.5375,546.086,-353.261,28.3034,1896.25,-658.352,33.363,1563.67,1126.74,26.376,1124.47,-51.0938,23.3148,1235.29,-721.109,21.4504,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,0,1611.25,-59.8053,22.9729,459.094,386.66,24.0469,824.684,1020.45,32.091,1621.67,429.551,28.6804,1138.97,443.556,26.1457,2226.93,738.405,30.3507,2274.68,-57.0428,34.3319,546.407,-353.674,28.3834,1896.31,-658.428,33.4198,1563.65,1126.73,26.3412,1125.48,-50.6298,23.8844,1235.28,-721.211,21.3902,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,0,1611.25,-59.7967,22.9844,459.079,386.67,24.0102,824.65,1020.48,32.0918,1621.66,429.548,28.6731,1139.01,443.554,26.1579,2227.07,737.969,30.8271,2274.67,-57.0543,34.3732,546.055,-353.316,28.2551,1896.28,-658.424,33.4601,1563.62,1126.75,26.3431,1125.4,-50.6361,23.8558,1235.21,-721.161,21.3213,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,0,1611.17,-59.8782,22.8278,459.083,386.675,23.9748,824.776,1020.4,32.1268,1621.67,429.555,28.6841,1138.97,443.554,26.1673,2227.06,737.958,30.831,2274.79,-57.0187,34.4561,546.132,-353.328,28.2578,1896.24,-658.324,33.3586,1563.63,1126.75,26.3014,1124.53,-51.0879,23.2733,1235.59,-721.098,21.4549,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,0,1611.25,-59.7766,22.9896,459.198,386.64,24.0804,824.667,1020.46,32.0704,1621.65,429.541,28.6816,1139.01,443.547,26.1721,2226.9,738.378,30.3401,2274.69,-57.0313,34.3382,546.105,-353.282,28.3148,1896.35,-658.596,33.8541,1563.63,1126.73,26.3563,1125.51,-50.5976,23.8935,1235.27,-721.169,21.3645,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,0,1611.17,-59.8786,22.8731,459.129,386.652,24.0869,824.654,1020.46,32.0871,1621.65,429.539,28.6916,1138.99,443.532,26.1338,2227.05,737.953,30.8344,2274.65,-57.0469,34.3653,546.15,-353.317,28.3118,1896.24,-658.424,33.3734,1563.64,1126.74,26.356,1125.45,-50.632,23.8847,1235.27,-721.154,21.2769,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,0,1611.24,-59.7975,22.9793,459.039,386.695,24.0178,824.645,1020.48,32.1355,1621.85,429.734,28.708,1138.99,443.552,26.1902,2227.06,737.951,30.8348,2274.77,-56.9999,34.4706,546.144,-353.341,28.2733,1896.3,-658.403,33.3413,1563.62,1126.76,26.3149,1124.52,-51.0364,23.3542,1235.36,-721.11,21.4468,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,0,1611.18,-59.8765,22.8358,459.098,386.677,24.0324,824.675,1020.45,32.1132,1621.71,429.57,28.6861,1138.95,443.558,26.1041,2226.91,738.418,30.2994,2274.69,-57.0327,34.342,546.21,-353.295,28.2964,1896.28,-658.467,33.6918,1563.67,1126.75,26.3605,1124.65,-51.0722,23.3673,1235.38,-721.1,21.4053,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,0,1611.23,-59.7945,22.949,459.122,386.662,24.0733,824.676,1020.43,32.0968,1621.69,429.579,28.6797,1139.03,443.566,26.1591,2227.09,737.999,30.8247,2274.63,-57.0759,34.3558,546.067,-353.284,28.2934,1896.36,-658.448,33.4734,1563.71,1126.76,26.4152,1125.54,-50.6566,23.9005,1235.23,-721.214,21.2394,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,0,1611.18,-59.8692,22.8489,459.126,386.632,24.0834,824.651,1020.45,32.1055,1621.69,429.57,28.6848,1138.98,443.558,26.1289,2226.91,738.346,30.3626,2274.7,-57.082,34.4257,546.327,-353.665,28.4085,1896.36,-658.514,33.7037,1563.65,1126.73,26.3737,1125.48,-50.6172,23.8931,1235.23,-721.154,21.3106,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,0,1611.17,-59.887,22.8406,459.122,386.663,24.0604,824.634,1020.44,32.0816,1621.7,429.587,28.6988,1139,443.566,26.1678,2227.07,737.972,30.8349,2274.67,-57.0527,34.354,546.181,-353.347,28.3486,1896.25,-658.402,33.4687,1563.66,1126.72,26.4038,1124.49,-51.0929,23.3061,1235.15,-721.196,21.2955,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,0,1611.17,-59.8692,22.846,459.117,386.688,24.0937,824.653,1020.48,32.1089,1621.68,429.594,28.6853,1139.03,443.56,26.1727,2226.95,738.369,30.3949,2274.78,-57.0482,34.4916,546.154,-353.304,28.3372,1896.23,-658.295,33.2436,1563.63,1126.73,26.323,1124.57,-51.0797,23.3351,1235.32,-721.182,21.4309,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,0,1611.16,-59.866,22.8235,459.106,386.672,24.0313,824.709,1020.39,32.0971,1621.69,429.577,28.6844,1138.99,443.572,26.0957,2226.91,738.4,30.3016,2274.69,-57.0451,34.3893,546.13,-353.307,28.3022,1896.26,-658.398,33.354,1563.68,1126.69,26.3732,1124.61,-51.0891,23.3603,1235.27,-721.114,21.3795,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,0,1611.18,-59.868,22.8258,459.112,386.615,24.0108,824.704,1020.41,32.0997,1621.69,429.579,28.687,1138.96,443.548,26.1257,2227.07,737.992,30.807,2274.62,-57.0727,34.3205,545.975,-353.217,28.2591,1896.24,-658.355,33.3166,1563.65,1126.74,26.3033,1125.49,-50.6455,23.8781,1235.27,-721.154,21.403,,,,,,,,,,,,,,,,,,,,,,,,,,,
