Objects
100
,,Global Angle quackGPT:quackGPT,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
85,0,0.0158549,-0.00112626,-0.00893665,958.794,-524.738,137.996
86,0,0.0159175,-0.00111401,-0.00890273,958.801,-524.731,138.004
87,0,0.0155126,-0.00108412,-0.00873616,958.803,-524.731,138.017
88,0,0.0156509,-0.000915102,-0.00889479,958.804,-524.727,138.01
89,0,0.0163015,-0.00102086,-0.00894439,958.798,-524.733,138.009
90,0,0.0154506,-0.000768648,-0.00862201,958.806,-524.739,137.997
91,0,0.015987,-0.000823862,-0.00902363,958.788,-524.717,137.996
92,0,0.0153182,-0.00117719,-0.00890926,958.805,-524.721,138.01
93,0,0.0162101,-0.000796004,-0.00890849,958.788,-524.719,138.005
94,0,0.015565,-0.000824649,-0.00889027,958.796,-524.721,137.997
95,0,0.015718,-0.000712622,-0.00905452,958.788,-524.72,137.997
96,0,0.0157428,-0.00131423,-0.00872943,958.788,-524.731,137.989
97,0,0.015738,-0.00106686,-0.00899568,958.8,-524.723,138.008
98,0,0.0123748,-0.00277154,-0.00806014,958.749,-524.743,137.912
99,0,0.0159605,-0.00125514,-0.00900807,958.797,-524.73,138.006
100,0,0.0155437,-0.00120881,-0.00903413,958.803,-524.72,138.023
101,0,0.015651,-0.000814216,-0.00890271,958.796,-524.722,137.999
102,0,0.0152107,-0.00089263,-0.00883669,958.806,-524.735,138.002
103,0,0.0156439,-0.000964535,-0.00892111,958.796,-524.734,138.012
104,0,0.0155508,-0.000696462,-0.00862997,958.791,-524.734,138.007
105,0,0.0159199,-0.00103901,-0.00885393,958.791,-524.723,137.994
106,0,0.0155376,-0.000823786,-0.00881695,958.792,-524.737,138.003
107,0,0.0151016,-0.000919499,-0.00882831,958.797,-524.729,138.01
108,0,0.0160504,-0.0008606,-0.00887822,958.794,-524.737,138.02
109,0,0.0159952,-0.000790482,-0.00896101,958.796,-524.728,137.998
110,0,0.0155132,-0.000860122,-0.00892353,958.796,-524.726,138.011
111,0,0.0143389,-0.000408691,-0.00860803,958.807,-524.733,138.032
112,0,0.0156016,-0.00116452,-0.00900332,958.796,-524.721,137.994
113,0,0.015672,-0.000579176,-0.00881901,958.795,-524.723,138.004
114,0,0.0155943,-0.00114796,-0.00893914,958.812,-524.739,138.031
115,0,0.0156537,-0.00114064,-0.00903638,958.8,-524.739,138.011
116,0,0.015558,-0.00112516,-0.00884405,958.803,-524.721,137.995
117,0,0.0152969,-0.00108325,-0.0085966,958.799,-524.732,138.008
118,0,0.0156901,-0.000728787,-0.00896582,958.787,-524.717,138.007
119,0,0.0156765,-0.00099958,-0.0089832,958.795,-524.716,138.023
120,0,0.0163729,-0.000726058,-0.00897496,958.788,-524.733,137.993
121,0,0.0158563,-0.000829306,-0.00891507,958.79,-524.727,137.994
122,0,0.0154397,-0.000621223,-0.00877656,958.788,-524.726,137.99
123,0,0.0160375,-0.000838886,-0.00889268,958.787,-524.72,137.989
124,0,0.0159404,-0.000983363,-0.00912671,958.786,-524.71,138.011
125,0,0.0156288,-0.000539052,-0.00907511,958.797,-524.719,138.009
126,0,0.0123917,-0.00278588,-0.0081397,958.746,-524.746,137.911
127,0,0.0151911,-0.000898708,-0.00904211,958.806,-524.728,138.002
128,0,0.0154559,-0.000846708,-0.00878903,958.795,-524.724,138.01
129,0,0.0162403,-0.000779841,-0.00896783,958.788,-524.713,138.002
130,0,0.0118674,-0.00256449,-0.00819679,958.747,-524.733,137.891
131,0,0.0156141,-0.00128707,-0.00884158,958.799,-524.723,138.004
132,0,0.0154906,-0.000927738,-0.00877805,958.811,-524.731,138.015
133,0,0.0153566,-0.00124055,-0.00889229,958.803,-524.744,138.017
134,0,0.0157158,-0.000843871,-0.00875803,958.8,-524.733,137.999
135,0,0.0153932,-0.000547125,-0.00865478,958.794,-524.723,137.999
136,0,0.0159548,-0.000786898,-0.0087903,958.793,-524.732,137.994
137,0,0.0159734,-0.00111,-0.0087836,958.808,-524.733,138.018
138,0,0.0156014,-0.000709532,-0.00890512,958.804,-524.736,138.029
139,0,0.0122212,-0.00267979,-0.00794444,958.745,-524.743,137.901
140,0,0.0155502,-0.00111055,-0.00877744,958.801,-524.72,138.007
141,0,0.0156602,-0.000846871,-0.00886089,958.793,-524.715,137.994
142,0,0.0120713,-0.00290014,-0.00796032,958.751,-524.745,137.905
143,0,0.0153764,-0.000861426,-0.00878525,958.798,-524.731,138.015
144,0,0.0156748,-0.000672724,-0.00881323,958.792,-524.728,137.999
145,0,0.0156792,-0.000867663,-0.00893702,958.799,-524.724,137.994
146,0,0.0146494,-0.00109534,-0.00886765,958.802,-524.72,138.009
147,0,0.0155995,-0.00104406,-0.00878022,958.796,-524.725,138.01
148,0,0.0153419,-0.000916399,-0.00878866,958.795,-524.723,137.988
149,0,0.0157454,-0.000929747,-0.00899104,958.796,-524.716,138.007
150,0,0.0159318,-0.000956528,-0.00911014,958.795,-524.718,138.004
151,0,0.0121568,-0.00288905,-0.00809922,958.743,-524.749,137.886
152,0,0.0153876,-0.0012299,-0.00904387,958.804,-524.708,138.007
153,0,0.0123445,-0.00310163,-0.00796779,958.746,-524.741,137.91
154,0,0.0144795,-5.86905e-06,-0.00849592,958.815,-524.73,138.04
155,0,0.015484,-0.00096643,-0.00904465,958.793,-524.717,138.011
156,0,0.0153124,-0.00066738,-0.00874891,958.795,-524.731,138.004
157,0,0.0158681,-0.000760353,-0.00889097,958.793,-524.723,138.003
158,0,0.0155167,-0.00101664,-0.00869895,958.792,-524.729,138.009
159,0,0.0156896,-0.000875184,-0.00915928,958.793,-524.707,138
160,0,0.0155355,-0.000907047,-0.00885121,958.806,-524.723,138.019
161,0,0.0152059,-0.00113381,-0.00854397,958.802,-524.741,138.014
162,0,0.0153456,-0.00106954,-0.00905745,958.805,-524.731,138.007
163,0,0.0154087,-0.00106405,-0.00902305,958.797,-524.721,138.007
164,0,0.0157353,-0.000953944,-0.00906724,958.781,-524.711,137.989
165,0,0.0153018,-0.000927481,-0.00879393,958.794,-524.726,138.009
166,0,0.0155685,-0.000946403,-0.0089628,958.796,-524.726,138.009
167,0,0.0154143,-0.000818283,-0.0086647,958.803,-524.737,138.011
168,0,0.0158513,-0.000821155,-0.00872089,958.784,-524.73,137.998
169,0,0.0123623,-0.00316252,-0.00821913,958.75,-524.741,137.91
170,0,0.0159313,-0.000707441,-0.00879718,958.792,-524.729,138.001
171,0,0.0145736,-0.000325102,-0.00848347,958.814,-524.734,138.045
172,0,0.015566,-0.00122503,-0.00913004,958.803,-524.722,138.016
173,0,0.0153377,-0.000696667,-0.00895792,958.788,-524.732,138.009
174,0,0.0152883,-0.000799728,-0.00892048,958.79,-524.717,137.996
175,0,0.0157547,-0.000988763,-0.00877729,958.799,-524.737,138.011
176,0,0.0152751,-0.000869163,-0.00895548,958.794,-524.721,138.004
177,0,0.0154735,-0.000709389,-0.00899749,958.79,-524.718,138.013
178,0,0.0159534,-0.0012869,-0.00898905,958.802,-524.716,138.021
179,0,0.0159641,-0.00102592,-0.00903417,958.791,-524.722,138.013
180,0,0.0155846,-0.00111068,-0.00909972,958.797,-524.711,138.002
181,0,0.0158044,-0.000857253,-0.00905942,958.795,-524.712,137.99
182,0,0.0154975,-0.000694844,-0.00913812,958.801,-524.709,138.002
183,0,0.0123505,-0.00290741,-0.00795521,958.746,-524.744,137.916
184,0,0.0121844,-0.00266421,-0.00809648,958.744,-524.751,137.912
185,0,0.0154711,-0.000968603,-0.00878735,958.794,-524.747,138.01
186,0,0.015603,-0.00113199,-0.00884392,958.807,-524.729,138.002
187,0,0.0156286,-0.00100548,-0.00903736,958.786,-524.715,137.998
188,0,0.0155807,-0.00117245,-0.00871869,958.809,-524.732,138.026
189,0,0.0159193,-0.000810249,-0.00881571,958.789,-524.724,138.005
190,0,0.0118944,-0.00286966,-0.0081209,958.756,-524.747,137.913
191,0,0.015348,-0.0009995,-0.00881982,958.787,-524.73,137.996
192,0,0.0155264,-0.000846298,-0.00920475,958.792,-524.71,138.001
193,0,0.0154484,-0.000681055,-0.00908415,958.787,-524.721,137.999
194,0,0.0153629,-0.00094191,-0.00886994,958.789,-524.733,138.012
195,0,0.0158282,-0.00131685,-0.00895721,958.793,-524.716,138.006
196,0,0.0157609,-0.00058014,-0.00880946,958.786,-524.72,137.993
197,0,0.0157558,-0.00111317,-0.00892364,958.796,-524.745,138.005
198,0,0.0118737,-0.00266017,-0.00819091,958.743,-524.744,137.888
199,0,0.0162459,-0.00124737,-0.00895678,958.784,-524.705,138.005
200,0,0.0154727,-0.000669843,-0.00904176,958.79,-524.712,137.999
201,0,0.0155814,-0.000802711,-0.00881025,958.791,-524.718,138.006
202,0,0.0150319,-0.000823552,-0.00883663,958.789,-524.734,138.001
203,0,0.0157021,-0.000915782,-0.00888211,958.798,-524.732,138.005
