Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,1 17,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1416,0,1348.63,-53.8257,25.9818,1617.73,392.445,26.528,1586.93,1122.96,47.9745,1091.78,1094.05,38.7541,442.542,1070.54,42.8404,515.804,-7.85654,19.1189,2304.52,226.843,38.7054,781.16,446.931,22.5312,-160.971,-29.9614,34.7645,500.372,-753.017,15.9691,1131.83,-738.88,14.4557,1772.77,-748.995,27.0379,,,
1417,0,1348.56,-53.8661,25.9311,1617.74,392.447,26.545,1586.89,1122.97,47.9845,1091.73,1094.09,38.7725,442.482,1070.56,42.7682,515.652,-7.91682,19.1188,2304.52,226.834,38.7003,781.161,446.888,22.5385,-161.024,-29.9851,34.8299,500.267,-753.094,15.8437,1131.83,-738.861,14.421,1772.77,-748.974,27.0335,,,
1418,0,1348.66,-53.8085,26.0077,1617.76,392.454,26.5516,1586.95,1122.98,47.9898,1091.74,1094.14,38.7444,442.505,1070.56,42.7603,515.685,-7.90646,19.0281,2304.56,226.833,38.713,781.16,446.894,22.4693,-160.959,-29.9805,34.7629,499.057,-752.552,17.9641,1131.84,-738.821,14.414,1772.74,-748.985,26.9823,,,
1419,0,1348.65,-53.8129,25.9859,1617.74,392.441,26.553,1586.91,1122.96,47.9585,1091.74,1094.12,38.7536,442.488,1070.57,42.7783,515.575,-7.89534,19.0951,2304.57,226.876,38.7051,781.247,446.818,22.5409,-160.94,-29.906,34.8837,499.519,-752.945,16.847,1131.82,-738.869,14.471,1772.74,-748.982,27.0073,,,
1420,0,1348.57,-53.8573,25.9328,1617.73,392.464,26.5465,1586.89,1122.93,47.9521,1091.74,1094.11,38.7449,442.482,1070.56,42.7949,515.607,-7.98315,19.0599,2304.5,226.837,38.6713,781.205,446.876,22.5282,-161.045,-30.1265,34.8428,499.59,-752.957,16.5396,1131.82,-738.849,14.4362,1772.77,-749.016,27.0222,,,
1421,0,1348.54,-53.8651,25.9314,1617.74,392.451,26.5584,1586.92,1122.95,48.0072,1092.22,1093.66,38.9102,442.456,1070.57,42.7669,515.447,-7.88768,18.99,2304.54,226.867,38.6868,781.142,446.95,22.5267,-161.02,-29.9253,34.8379,499.771,-752.956,16.5588,1131.84,-738.85,14.4538,1772.71,-748.991,26.9859,,,
1422,0,1348.59,-53.8367,25.9921,1617.76,392.443,26.5607,1586.93,1122.89,47.9721,1091.76,1094.09,38.732,442.402,1070.58,42.6661,515.82,-7.93795,19.1048,2304.56,226.875,38.707,781.203,446.892,22.5787,-160.97,-29.8308,34.8502,499.947,-752.883,16.3087,1131.83,-738.854,14.4447,1772.72,-749.002,27.0049,,,
1423,0,1348.57,-53.8687,25.9259,1617.75,392.449,26.5408,1586.97,1122.91,48.0324,1091.73,1094.09,38.7116,442.466,1070.57,42.751,515.747,-7.8389,19.0229,2304.55,226.844,38.6713,781.247,446.851,22.6357,-161.04,-29.9233,34.8389,499.975,-753.102,16.1768,1131.81,-738.903,14.4586,1772.74,-748.978,27.0034,,,
1424,0,1348.57,-53.8014,25.9508,1617.76,392.442,26.557,1586.95,1122.88,48.0295,1091.74,1094.11,38.7389,442.435,1070.59,42.7016,515.73,-7.827,18.9985,2304.59,226.86,38.7142,781.171,446.902,22.5804,-161.028,-30.061,34.8414,500.004,-752.937,16.4389,1131.83,-738.86,14.4313,1772.74,-748.982,26.9937,,,
1425,0,1348.64,-53.8242,25.9961,1617.75,392.452,26.5674,1586.94,1122.9,48.0713,1091.72,1094.09,38.7203,442.445,1070.56,42.7359,515.717,-7.85063,19.0787,2304.54,226.845,38.7253,781.338,446.812,22.6327,-161.004,-30.0074,34.8508,500.118,-753.064,16.1532,1131.83,-738.803,14.4356,1772.77,-749.01,27.0468,,,
1426,0,1348.51,-53.8137,25.8977,1617.75,392.445,26.5572,1586.89,1122.91,47.9578,1091.75,1094.09,38.773,442.406,1070.58,42.7034,515.654,-7.86122,19.0375,2304.52,226.872,38.6739,781.229,446.898,22.6204,-161.049,-30.0149,34.7768,500.017,-752.903,16.1608,1131.84,-738.871,14.4958,1772.74,-749.01,27.0279,,,
1427,0,1348.6,-53.7892,25.9347,1617.73,392.452,26.5444,1586.95,1122.9,48.0639,1092.37,1093.54,38.9278,442.475,1070.6,42.7987,515.53,-7.9251,18.9112,2304.56,226.872,38.6848,781.209,446.872,22.6073,-161.036,-29.9859,34.8487,500.124,-752.981,16.1247,1131.82,-738.904,14.442,1772.74,-748.989,26.9793,,,
1428,0,1348.54,-53.8577,25.9297,1617.75,392.461,26.5503,1586.99,1122.85,48.0663,1092.23,1093.62,38.8957,442.389,1070.61,42.6596,515.695,-7.93043,19.0667,2304.52,226.83,38.6827,781.148,446.892,22.5546,-160.993,-29.8944,34.9124,500.172,-753.157,15.8266,1131.84,-738.899,14.4445,1772.75,-749.013,26.9728,,,
1429,0,1348.57,-53.815,25.9127,1617.75,392.456,26.5597,1586.97,1122.87,48.1027,1092.5,1093.45,38.9366,442.393,1070.58,42.6641,515.616,-7.9234,19.0759,2304.54,226.859,38.6975,781.204,446.921,22.6342,-161.012,-29.9801,34.7928,500.222,-753.035,15.8703,1131.84,-738.83,14.4111,1772.73,-748.974,26.9918,,,
1430,0,1348.62,-53.8246,25.9778,1617.76,392.439,26.5779,1586.99,1122.86,48.0908,1091.72,1094.11,38.756,442.481,1070.56,42.7809,515.719,-7.9272,19.0957,2304.53,226.848,38.7236,781.253,446.924,22.6944,-160.961,-29.8418,34.7776,500.273,-753.128,15.9274,1131.84,-738.818,14.4555,1772.71,-748.966,27.0543,,,
1431,0,1348.56,-53.8356,25.9721,1617.75,392.452,26.567,1586.96,1122.85,48.0873,1091.73,1094.08,38.7546,442.42,1070.59,42.7225,515.629,-7.88613,19.0661,2304.54,226.857,38.6928,781.225,446.888,22.645,-161.003,-29.8945,34.8353,500.322,-753.059,15.8274,1131.83,-738.866,14.4885,1772.73,-748.97,26.9713,,,
1432,0,1348.68,-53.7961,25.9949,1617.76,392.435,26.5723,1586.95,1122.86,48.0709,1091.71,1094.09,38.709,442.412,1070.61,42.6941,515.68,-7.87296,19.0311,2304.55,226.862,38.6662,781.261,446.889,22.6857,-161.049,-29.9343,34.8078,500.13,-753.015,15.784,1131.8,-738.867,14.4276,1772.71,-749.005,26.9823,,,
1433,0,1348.59,-53.8197,25.9474,1617.73,392.444,26.5472,1586.99,1122.85,48.083,1092.37,1093.55,38.94,442.402,1070.6,42.6387,515.649,-7.87254,19.0524,2304.56,226.87,38.6984,781.198,446.905,22.583,-160.971,-29.8771,34.775,500.142,-753.036,15.8337,1131.82,-738.827,14.411,1772.75,-748.975,27.0003,,,
1434,0,1348.59,-53.8395,25.9566,1617.74,392.46,26.5419,1586.98,1122.87,48.1234,1091.72,1094.05,38.7543,442.497,1070.57,42.8164,515.838,-7.9041,19.1724,2304.52,226.832,38.6895,781.276,446.854,22.5805,-161.043,-29.9306,34.8452,500.225,-752.973,16.0261,1131.84,-738.825,14.411,1772.75,-749.006,26.9567,,,
1435,0,1348.58,-53.8214,25.9835,1617.74,392.444,26.5532,1586.92,1122.9,47.9923,1092.34,1093.57,38.9132,442.506,1070.55,42.7941,515.661,-7.8596,19.0852,2304.5,226.838,38.6705,781.135,446.871,22.7243,-161.02,-29.9231,34.7819,500.198,-753.023,15.9018,1131.83,-738.883,14.4331,1772.69,-748.963,26.9807,,,
1436,0,1348.64,-53.84,25.9657,1617.74,392.466,26.5553,1586.99,1122.86,48.087,1091.77,1094.06,38.7194,442.47,1070.58,42.7621,515.684,-7.93576,19.1005,2304.55,226.856,38.6875,781.111,446.916,22.6389,-160.994,-29.8836,34.8123,500.38,-753.123,15.8796,1131.83,-738.859,14.456,1772.76,-748.983,27.0484,,,
1437,0,1348.62,-53.8064,25.9573,1617.76,392.454,26.5565,1586.93,1122.9,47.9876,1091.73,1094.13,38.7329,442.524,1070.54,42.8131,515.786,-7.90715,19.1065,2304.53,226.863,38.6706,781.137,446.97,22.6375,-161.004,-29.9845,34.8629,500.29,-753.2,15.9934,1131.85,-738.843,14.4008,1772.76,-748.995,27.0013,,,
1438,0,1348.47,-53.8858,25.9829,1617.75,392.439,26.5568,1586.99,1122.88,48.0925,1091.76,1094.06,38.7162,442.473,1070.58,42.7782,515.734,-7.96276,19.0488,2304.56,226.871,38.6879,781.232,446.849,22.6015,-160.943,-29.966,34.8586,500.277,-753.098,15.8488,1131.83,-738.882,14.4655,1772.74,-749.02,26.9856,,,
1439,0,1348.55,-53.7905,25.9209,1617.75,392.468,26.5542,1586.98,1122.86,48.0652,1091.78,1094.03,38.7177,442.359,1070.59,42.6456,515.552,-7.84339,19.0106,2304.55,226.858,38.6831,781.307,446.996,22.7379,-160.992,-29.9635,34.8352,500.222,-753.086,15.9234,1131.85,-738.82,14.4166,1772.78,-748.992,27.0912,,,
1440,0,1348.62,-53.803,25.9384,1617.75,392.441,26.5521,1586.99,1122.85,48.089,1091.78,1094.02,38.7239,442.399,1070.6,42.6603,515.536,-7.88042,19.065,2304.54,226.846,38.7023,781.564,447.155,23.034,-161.016,-30.1455,34.8484,500.247,-753.11,15.7568,1131.87,-738.84,14.419,1772.77,-749.014,27.01,,,
1441,0,1348.65,-53.8404,25.9687,1617.76,392.44,26.5495,1586.95,1122.82,48.0367,1091.73,1094.1,38.7342,442.443,1070.56,42.7304,515.703,-7.9061,19.0971,2304.55,226.863,38.6893,781.689,447.2,23.031,-160.969,-29.9103,34.8544,500.162,-753.058,15.7935,1131.86,-738.844,14.4307,1772.73,-749.01,27.0035,,,
1442,0,1348.6,-53.8444,26.0105,1617.75,392.444,26.5584,1586.95,1122.86,48.073,1091.74,1094.13,38.7755,442.394,1070.57,42.7057,515.75,-7.88911,19.0868,2304.55,226.845,38.7243,781.661,447.21,23.0523,-161.003,-30.0582,34.7738,500.012,-753.401,15.1489,1131.86,-738.82,14.4376,1772.8,-749.007,27.0158,,,
1443,0,1348.6,-53.8383,25.9797,1617.75,392.458,26.5685,1586.99,1122.89,48.1193,1091.81,1094,38.7663,442.471,1070.6,42.7828,515.664,-7.94044,19.1429,2304.56,226.851,38.7083,781.588,447.255,23.0679,-161.042,-29.8311,34.7996,500.078,-753.236,15.5983,1131.84,-738.841,14.4429,1772.78,-748.986,27.0806,,,
1444,0,1348.56,-53.8491,25.9386,1617.75,392.457,26.5568,1586.94,1122.93,47.9995,1091.76,1094.08,38.7401,442.409,1070.58,42.7131,515.731,-7.82729,19.0249,2304.55,226.851,38.6934,781.742,447.204,23.0588,-161.023,-29.9486,34.8166,498.88,-752.86,17.8778,1131.84,-738.886,14.4519,1773.01,-748.995,27.18,,,
1445,0,1348.63,-53.8248,25.9377,1617.75,392.434,26.556,1586.99,1122.89,48.0985,1092.36,1093.56,38.9477,442.323,1070.58,42.5881,515.55,-7.97,19.0637,2304.55,226.862,38.672,781.806,447.124,23.0593,-160.991,-30.0137,34.8004,499.997,-753.039,16.5387,1131.85,-738.849,14.4462,1773.02,-748.997,27.2088,,,
1446,0,1348.58,-53.8545,25.9811,1617.74,392.444,26.5553,1586.9,1122.9,47.9585,1091.75,1094.12,38.754,442.433,1070.56,42.7023,515.606,-7.90739,18.9676,2304.54,226.851,38.6582,781.69,447.182,23.0804,-161.038,-29.9918,34.8516,499.635,-753.021,16.3545,1131.87,-738.814,14.4362,1772.97,-748.977,27.0873,,,
1447,0,1348.59,-53.8299,25.9369,1617.75,392.456,26.5597,1586.74,1123.1,47.7221,1091.79,1094,38.7631,442.435,1070.59,42.7571,515.659,-7.86408,19.0878,2304.54,226.862,38.6869,781.595,447.2,23.0105,-161.065,-29.9091,34.7637,498.79,-752.915,17.9537,1131.86,-738.815,14.4347,1772.8,-748.933,26.8074,,,
1448,0,1348.57,-53.8163,26.0034,1617.74,392.464,26.5455,1586.85,1122.96,47.8966,1091.72,1094.1,38.7305,442.445,1070.56,42.7537,515.736,-7.89034,19.0203,2304.58,226.857,38.7542,781.667,447.172,23.0053,-161.008,-30.0085,34.8279,498.8,-752.973,17.9543,1131.84,-738.881,14.4553,1772.22,-748.892,26.2204,,,
1449,0,1348.57,-53.8433,25.9634,1617.74,392.452,26.5456,1586.88,1122.94,47.9328,1091.73,1094.13,38.7432,442.444,1070.57,42.6767,515.574,-8.03488,19.0011,2304.56,226.865,38.6901,781.646,447.199,23.0026,-161.077,-30.0781,34.7852,498.779,-752.924,17.8237,1131.85,-738.837,14.4477,1772.24,-748.904,26.2265,,,
1450,0,1348.54,-53.8562,25.9171,1617.74,392.45,26.5563,1586.94,1122.95,47.949,1091.76,1094.08,38.7232,442.44,1070.58,42.7163,515.596,-7.86542,19.001,2304.54,226.877,38.6655,781.63,447.183,23.0394,-161.019,-30.0013,34.8414,498.807,-752.81,17.9087,1131.83,-738.829,14.4543,1772.26,-748.904,26.2462,,,
1451,0,1348.55,-53.8461,25.952,1617.74,392.443,26.5646,1586.87,1122.95,47.9121,1091.77,1094.06,38.736,442.344,1070.59,42.604,515.717,-7.91499,19.0905,2304.55,226.853,38.691,781.8,447.203,23.0343,-161.022,-29.8132,34.8454,498.737,-752.841,17.9099,1131.84,-738.9,14.4432,1772.27,-748.935,26.2152,,,
1452,0,1348.52,-53.871,25.9121,1617.74,392.456,26.5559,1586.91,1122.96,47.9369,1091.76,1094.04,38.7426,442.421,1070.58,42.6852,515.766,-7.8506,19.0458,2304.55,226.882,38.6934,781.581,447.22,23.0344,-160.966,-29.9674,34.7628,498.73,-752.741,17.856,1131.86,-738.842,14.4268,1772.26,-748.927,26.2297,,,
1453,0,1348.62,-53.8163,25.9777,1617.77,392.445,26.5719,1586.94,1122.91,47.9742,1092.24,1093.65,38.8795,442.445,1070.58,42.7191,515.736,-7.85155,19.0872,2304.57,226.872,38.7006,781.652,447.139,23.0416,-161.017,-29.7801,34.7656,498.79,-752.877,18.342,1131.84,-738.881,14.4702,1772.31,-748.918,26.2749,,,
1454,0,1348.58,-53.8646,25.9126,1617.75,392.459,26.5439,1586.95,1122.93,48.0174,1092.21,1093.66,38.8744,442.501,1070.55,42.7825,515.707,-7.88717,19.0286,2304.57,226.862,38.6867,781.534,447.212,22.9546,-160.965,-29.8922,34.8805,498.808,-752.961,18.3129,1131.84,-738.845,14.4641,1772.27,-748.934,26.2384,,,
1455,0,1348.48,-53.8624,25.9721,1617.74,392.457,26.5578,1586.98,1122.88,48.0358,1091.72,1094.12,38.7469,442.507,1070.56,42.8086,515.655,-7.87516,19.0098,2304.55,226.873,38.6747,781.914,447.206,23.1133,-161.022,-29.911,34.8607,498.392,-753.104,18.1988,1131.82,-738.861,14.4487,1772.27,-748.909,26.2808,,,
1456,0,1348.54,-53.8348,25.9267,1617.75,392.455,26.5417,1586.98,1122.91,48.0462,1091.77,1094.03,38.7293,442.445,1070.57,42.7392,515.778,-7.86436,19.1021,2304.55,226.869,38.6875,781.549,447.19,23.002,-161.004,-29.9233,34.8464,498.957,-752.816,18.1926,1131.83,-738.851,14.435,1772.29,-748.91,26.257,,,
1457,0,1348.57,-53.7571,25.9309,1617.74,392.447,26.5556,1586.77,1123.09,47.7527,1091.75,1094.1,38.7686,442.486,1070.57,42.7658,515.682,-7.88265,19.0085,2304.52,226.822,38.6986,781.667,447.176,23.0224,-160.995,-30.011,34.8488,498.652,-752.941,18.4385,1131.84,-738.821,14.383,1772.24,-748.926,26.234,,,
1458,0,1348.55,-53.7676,25.9737,1617.75,392.439,26.5492,1586.87,1122.93,47.8943,1091.73,1094.12,38.7752,442.445,1070.57,42.7037,516.109,-7.90712,19.1212,2304.56,226.857,38.7102,781.666,447.152,23.0241,-160.911,-29.9225,34.8444,498.217,-753.123,18.3083,1131.85,-738.827,14.4527,1772.27,-748.939,26.2441,,,
1459,0,1348.62,-53.8462,25.9654,1617.75,392.452,26.5653,1586.85,1122.94,47.8984,1091.73,1094.1,38.7051,442.445,1070.56,42.7263,515.7,-7.83896,19.0462,2304.55,226.857,38.6787,781.761,447.152,23.0569,-160.943,-30.0361,34.8966,498.308,-753.241,18.6478,1131.86,-738.848,14.4409,1772.32,-748.898,26.2939,,,
1460,0,1348.55,-53.8258,25.9117,1617.75,392.446,26.5556,1586.87,1122.94,47.9349,1091.82,1094.02,38.7629,442.454,1070.58,42.7132,515.656,-7.8941,19.0232,2304.57,226.854,38.695,781.743,447.224,23.0701,-160.988,-30.0638,34.8175,500.309,-752.503,15.33,1131.83,-738.886,14.4407,1772.32,-748.874,26.3339,,,
1461,0,1348.63,-53.8265,25.99,1617.75,392.444,26.5562,1586.9,1122.95,47.9662,1091.74,1094.09,38.7572,442.465,1070.59,42.6956,515.737,-7.92293,19.0247,2304.56,226.869,38.6972,781.59,447.204,22.9829,-160.933,-29.9731,34.8583,500.377,-752.577,15.4121,1131.85,-738.869,14.4262,1772.31,-748.906,26.3003,,,
1462,0,1348.54,-53.8569,25.949,1617.74,392.445,26.552,1586.93,1122.94,47.9526,1091.8,1094.02,38.747,442.396,1070.6,42.6722,515.545,-7.81764,19.0368,2304.52,226.848,38.671,781.642,447.191,22.9811,-160.989,-30.0136,34.8532,500.321,-752.55,15.3384,1131.82,-738.828,14.4431,1772.28,-748.902,26.2615,,,
1463,0,1348.62,-53.8134,25.9741,1617.75,392.448,26.5405,1586.91,1122.93,47.9636,1091.73,1094.09,38.7512,442.406,1070.63,42.6643,515.711,-7.89287,19.0072,2304.59,226.847,38.756,781.571,447.199,23.0185,-160.969,-29.8656,34.7764,500.3,-752.456,15.2095,1131.84,-738.872,14.4379,1772.31,-748.939,26.2741,,,
1464,0,1348.54,-53.8572,25.9309,1617.76,392.447,26.551,1586.91,1122.91,47.9547,1091.74,1094.09,38.7487,442.418,1070.58,42.7289,515.601,-7.82277,18.9989,2304.57,226.856,38.7066,781.611,447.231,22.9864,-161.05,-29.8879,34.8028,500.3,-752.52,15.2863,1131.84,-738.851,14.4566,1772.29,-748.909,26.2382,,,
1465,0,1348.58,-53.8572,25.9748,1617.76,392.447,26.5685,1586.97,1122.93,48.0309,1091.75,1094.07,38.7049,442.442,1070.57,42.753,515.724,-7.89205,19.0478,2304.54,226.854,38.6859,781.582,447.204,22.9848,-160.991,-29.8905,34.8652,500.349,-752.577,15.0838,1131.84,-738.862,14.4415,1772.28,-748.894,26.2728,,,
1466,0,1348.52,-53.869,25.9819,1617.75,392.448,26.57,1586.97,1122.89,48.063,1091.76,1094.06,38.7379,442.485,1070.59,42.7685,516.05,-7.56945,19.3671,2304.55,226.855,38.7068,781.675,447.226,23.0359,-160.948,-29.9647,34.8345,500.067,-752.778,15.482,1131.82,-738.875,14.4853,1772.3,-748.904,26.2917,,,
1467,0,1348.58,-53.8511,25.9538,1617.74,392.442,26.5586,1586.94,1122.88,48.0314,1091.73,1094.08,38.7657,442.441,1070.58,42.7509,515.599,-7.7946,19.0511,2304.54,226.864,38.6722,781.614,447.193,23.105,-161.069,-29.9567,34.8198,498.711,-752.862,17.8987,1131.81,-738.88,14.4579,1772.29,-748.878,26.291,,,
1468,0,1348.56,-53.8442,25.9329,1617.75,392.472,26.556,1586.97,1122.9,48.0046,1091.76,1094.05,38.7235,442.489,1070.55,42.7265,515.781,-7.91598,19.1665,2304.56,226.851,38.7131,781.77,447.15,23.0636,-161.006,-30.0447,34.7968,498.747,-752.793,17.8915,1131.83,-738.806,14.4038,1772.34,-748.919,26.3271,,,
1469,0,1348.61,-53.8144,25.9511,1617.75,392.458,26.5334,1586.94,1122.85,48.0267,1091.77,1094.07,38.7209,442.417,1070.56,42.7401,515.786,-7.73751,19.081,2304.56,226.874,38.6634,781.611,447.192,23.0204,-160.986,-29.9964,34.7899,498.567,-752.599,17.9635,1131.82,-738.897,14.4869,1772.26,-748.904,26.2583,,,
1470,0,1348.61,-53.7955,25.9527,1617.74,392.451,26.5493,1586.88,1122.9,47.9468,1091.77,1094.09,38.7716,442.445,1070.56,42.7442,515.92,-7.81435,19.1622,2304.57,226.879,38.7048,781.646,447.19,22.988,-161.018,-30.0167,34.8614,498.559,-752.727,18.0418,1131.82,-738.838,14.4251,1772.26,-748.934,26.2333,,,
1471,0,1348.59,-53.7521,25.9967,1617.76,392.451,26.5766,1586.95,1122.88,48.0801,1091.73,1094.1,38.7586,442.44,1070.54,42.7404,515.607,-7.77375,19.0929,2304.56,226.88,38.6753,781.746,447.215,23.1116,-161.028,-30.0575,34.8418,498.472,-752.832,17.9198,1131.83,-738.867,14.4647,1772.31,-748.894,26.2569,,,
1472,0,1348.58,-53.825,25.9483,1617.77,392.445,26.5747,1587,1122.86,48.102,1091.73,1094.1,38.7332,442.478,1070.54,42.7937,515.704,-7.78348,19.1416,2304.52,226.865,38.6539,781.602,447.18,23.0492,-161.005,-29.9483,34.8373,498.573,-752.703,17.8318,1131.8,-738.859,14.4557,1772.3,-748.948,26.2555,,,
1473,0,1348.57,-53.844,25.952,1617.76,392.466,26.5621,1586.88,1122.92,47.9479,1091.81,1093.99,38.7726,442.376,1070.61,42.6895,515.663,-7.79587,19.1676,2304.51,226.859,38.6626,781.626,447.176,23.0828,-161.016,-29.8465,34.8297,499.773,-753.032,15.0036,1131.84,-738.85,14.4815,1772.21,-749.004,26.4405,,,
1474,0,1348.65,-53.8352,25.9748,1617.75,392.46,26.5391,1586.96,1122.85,48.0597,1091.74,1094.07,38.7139,442.338,1070.61,42.5624,515.784,-7.83379,19.0878,2304.56,226.86,38.707,781.845,447.177,23.0056,-161.007,-30.0868,34.8588,498.656,-752.944,17.8246,1131.82,-738.876,14.4345,1772.2,-749.008,26.3767,,,
1475,0,1348.58,-53.8427,25.9561,1617.75,392.463,26.5664,1586.99,1122.88,48.0879,1091.77,1094.08,38.7531,442.482,1070.56,42.7904,515.873,-7.79651,19.1873,2304.59,226.871,38.6971,781.557,447.206,22.9737,-160.955,-29.9349,34.8575,499.818,-753.075,16.0042,1131.83,-738.862,14.4386,1772.24,-749.018,26.4291,,,
1476,0,1348.55,-53.812,25.9103,1617.76,392.443,26.5718,1586.96,1122.87,48.0828,1091.76,1094.02,38.7295,442.423,1070.61,42.6857,515.872,-7.63109,19.2941,2304.52,226.843,38.6706,781.697,447.218,23.0262,-161.026,-30.0355,34.8457,499.813,-753.01,16.301,1131.84,-738.864,14.4326,1772.27,-748.945,26.2323,,,
1477,0,1348.45,-53.8691,25.9254,1617.75,392.45,26.5626,1586.79,1123.09,47.77,1091.74,1094.07,38.6815,442.446,1070.6,42.7704,516.278,-7.26813,19.4536,2304.52,226.842,38.6803,781.633,447.199,22.9861,-160.957,-29.951,34.8524,499.707,-752.997,16.4108,1131.83,-738.882,14.4254,1772.17,-749.058,26.4061,,,
1478,0,1348.56,-53.8003,25.9536,1617.75,392.454,26.5589,1586.92,1122.98,47.9888,1091.72,1094.09,38.7199,442.42,1070.59,42.7139,516.288,-7.28318,19.5219,2304.57,226.847,38.7384,781.689,447.182,23.1029,-160.978,-29.9328,34.8627,499.717,-753.079,16.2562,1131.84,-738.846,14.4056,1772.31,-748.914,26.2245,,,
1479,0,1348.52,-53.7743,25.9204,1617.76,392.46,26.5592,1586.9,1122.94,47.9582,1092.01,1093.81,38.8314,442.477,1070.59,42.7689,516.556,-6.81364,19.8017,2304.59,226.862,38.7183,781.56,447.199,22.9672,-160.973,-29.9474,34.8587,498.855,-752.832,17.8838,1131.84,-738.872,14.4684,1772.15,-749.031,26.3689,,,
1480,0,1348.58,-53.8585,25.9138,1617.76,392.451,26.5665,1586.9,1122.97,47.9559,1091.77,1094.03,38.7357,442.473,1070.56,42.7393,516.423,-6.8068,19.8283,2304.57,226.864,38.6885,781.738,447.184,23.0547,-161.028,-30.0951,34.8683,498.74,-753.243,18.1981,1131.83,-738.876,14.449,1772.23,-749.043,26.3943,,,
1481,0,1348.55,-53.8608,25.996,1617.74,392.46,26.5381,1586.89,1122.93,47.9372,1091.71,1094.12,38.752,442.278,1070.68,42.5305,516.592,-6.71446,19.9363,2304.57,226.857,38.7079,781.677,447.219,23.0364,-160.982,-29.8914,34.8633,499.727,-752.979,16.5512,1131.83,-738.833,14.4244,1772.24,-749.009,26.4004,,,
1482,0,1348.54,-53.7799,25.9357,1617.74,392.446,26.5561,1586.91,1122.94,47.946,1091.79,1094.03,38.7442,442.357,1070.62,42.6452,516.541,-6.8276,19.779,2304.53,226.857,38.6583,781.943,447.135,23.0991,-160.947,-29.8518,34.8921,498.899,-752.844,17.8011,1131.82,-738.893,14.4321,1772.21,-749.071,26.4218,,,
1483,0,1348.59,-53.8218,25.9601,1617.76,392.457,26.5784,1586.95,1122.96,48.0253,1091.72,1094.1,38.7278,442.442,1070.58,42.701,516.505,-6.82361,19.879,2304.53,226.837,38.6808,781.688,447.187,23.0809,-161.012,-29.8162,34.8435,499.673,-752.928,16.5143,1131.82,-738.882,14.4706,1772.18,-749.045,26.4008,,,
1484,0,1348.6,-53.8449,25.9627,1617.76,392.449,26.5645,1586.87,1122.95,47.9422,1091.73,1094.08,38.7489,442.439,1070.58,42.7322,516.669,-6.8595,20.0079,2304.54,226.891,38.6849,781.818,447.18,23.094,-160.912,-29.6944,34.8788,499.828,-752.99,16.366,1131.82,-738.837,14.4469,1772.15,-749.034,26.4218,,,
1485,0,1348.65,-53.8354,25.9623,1617.76,392.459,26.5476,1586.92,1122.9,47.9663,1091.75,1094.11,38.7735,442.333,1070.61,42.6398,516.455,-6.79429,19.866,2304.56,226.867,38.6896,781.613,447.195,23.0215,-161.015,-29.9079,34.8261,499.802,-753.008,16.5998,1131.83,-738.855,14.4293,1772.13,-749.056,26.4313,,,
1486,0,1348.61,-53.8248,25.9812,1617.75,392.455,26.5481,1586.98,1122.93,48.0323,1091.78,1094.02,38.7241,442.399,1070.58,42.6837,516.574,-6.76877,19.7882,2304.58,226.871,38.6939,781.594,447.198,22.9889,-161.107,-30.003,34.8468,499.824,-752.958,16.3948,1132.06,-738.896,14.5921,1772.15,-749.083,26.4863,,,
1487,0,1348.6,-53.8066,25.9786,1617.74,392.446,26.5456,1586.87,1122.93,47.9055,1091.76,1094.06,38.7225,442.502,1070.56,42.7716,516.533,-6.83298,19.8901,2304.56,226.86,38.7011,781.63,447.222,22.9771,-160.871,-29.8156,34.9297,500.012,-752.95,16.3461,1132.07,-738.4,13.7097,1772.18,-749.029,26.5603,,,
1488,0,1348.55,-53.8501,25.9971,1617.75,392.447,26.5522,1586.94,1122.87,48.033,1091.73,1094.09,38.7554,442.483,1070.56,42.7751,516.42,-6.84055,19.769,2304.54,226.863,38.6993,781.539,447.186,23.033,-161.049,-29.8551,34.8039,500.03,-753.06,16.3236,1132.07,-738.41,13.7086,1772.1,-749.095,26.5069,,,
1489,0,1348.63,-53.8371,25.9738,1617.76,392.449,26.5702,1586.96,1122.85,48.035,1091.76,1094.06,38.7109,442.546,1070.55,42.8626,516.404,-6.82478,19.9314,2304.55,226.86,38.702,781.815,447.214,23.0548,-160.983,-29.9143,34.8299,500.045,-753.115,16.2547,1132.06,-738.4,13.6843,1772.18,-749.087,26.5346,,,
