Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,1 17,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16,0,1348.58,-53.8528,25.9401,1617.74,392.438,26.5455,1586.9,1122.86,47.7353,1092.81,1093.31,38.9601,442.357,1070.62,42.645,515.645,-7.98314,19.1383,2304.46,226.766,38.6684,781.144,446.918,22.558,-158.022,-27.4899,35.211,500.807,-753.432,15.389,1132.44,-738.3,14.865,1772.58,-749.26,27.1267,,,
17,0,1348.65,-53.8259,26.0277,1617.75,392.438,26.5448,1586.87,1122.82,47.6966,1092.76,1093.27,38.9623,442.432,1070.54,42.7196,515.531,-8.07601,18.7528,2304.45,226.774,38.6734,781.269,446.916,22.5256,-157.88,-27.4046,35.3122,500.934,-753.514,15.3628,1132.49,-738.275,14.8701,1772.55,-749.254,27.1434,,,
18,0,1348.59,-53.8559,25.9485,1617.75,392.448,26.5465,1586.86,1122.81,47.6545,1092.89,1093.24,38.9415,442.429,1070.57,42.6954,515.663,-8.17507,18.6995,2304.5,226.759,38.7266,781.234,446.901,22.5359,-157.867,-27.4088,35.1759,500.898,-753.357,15.4069,1132.48,-738.291,14.8619,1772.54,-749.252,27.073,,,
19,0,1348.59,-53.8278,25.9385,1617.75,392.451,26.5456,1586.9,1122.84,47.7048,1092.81,1093.29,38.9147,442.406,1070.59,42.6282,515.552,-8.09382,18.6311,2304.43,226.767,38.6582,781.206,446.793,22.538,-157.952,-27.4516,35.265,501.103,-753.413,15.4543,1132.49,-738.305,14.8848,1772.54,-749.252,27.0818,,,
20,0,1348.59,-53.8447,25.9515,1617.75,392.423,26.5365,1586.97,1122.81,47.7864,1092.73,1093.33,38.9337,442.386,1070.58,42.6589,515.551,-8.18327,18.7445,2304.47,226.788,38.6992,781.103,446.884,22.5684,-157.933,-27.3898,35.2471,500.914,-753.476,15.393,1132.37,-738.231,14.7221,1772.53,-749.227,27.1043,,,
21,0,1348.58,-53.8314,25.9655,1617.74,392.449,26.5382,1586.93,1122.81,47.785,1092.75,1093.33,38.971,442.481,1070.59,42.7563,515.619,-7.91651,19.0492,2304.47,226.797,38.7384,781.125,446.933,22.5496,-157.895,-27.3861,35.298,500.689,-753.392,15.2383,1132.52,-738.283,14.9251,1772.53,-749.248,27.1048,,,
22,0,1348.51,-53.8552,26.0089,1617.76,392.447,26.5524,1586.91,1122.81,47.7728,1092.89,1093.25,38.9677,442.474,1070.56,42.8108,515.576,-8.1075,18.7358,2304.44,226.807,38.6955,781.175,446.847,22.5726,-157.917,-27.4213,35.2753,500.82,-753.439,15.3997,1132.46,-738.282,14.8872,1772.76,-749.023,27.0182,,,
23,0,1348.58,-53.8298,25.9093,1617.73,392.44,26.5253,1587.01,1122.81,47.8026,1092.74,1093.33,38.9256,442.394,1070.59,42.6896,515.637,-8.18926,18.69,2304.46,226.807,38.693,781.129,446.894,22.5223,-158.285,-27.7708,34.6206,500.92,-753.485,15.3966,1132.43,-738.307,14.8607,1772.66,-749.11,27.031,,,
24,0,1348.55,-53.8202,25.9497,1617.77,392.447,26.5444,1587.01,1122.78,47.8255,1092.83,1093.24,38.9644,442.335,1070.63,42.5344,515.866,-7.92827,19.123,2304.46,226.822,38.7088,781.238,446.857,22.4924,-157.954,-27.4258,35.3256,500.767,-753.475,15.2965,1132.32,-738.24,14.6684,1772.66,-749.096,27.054,,,
25,0,1348.61,-53.7758,25.9638,1617.74,392.448,26.5634,1587,1122.77,47.889,1092.87,1093.24,38.9337,442.431,1070.61,42.7261,515.566,-8.11118,18.6553,2304.45,226.836,38.7262,781.318,446.813,22.5426,-158.013,-27.4499,35.2681,500.758,-753.519,15.2908,1132.63,-738.229,15.0463,1772.63,-749.118,27.0974,,,
26,0,1348.55,-53.7996,25.9669,1617.74,392.428,26.5566,1586.86,1122.81,47.721,1092.75,1093.31,38.9297,442.472,1070.59,42.7538,515.547,-8.11424,18.6503,2304.44,226.794,38.7552,781.247,446.87,22.5456,-158.309,-27.7022,34.7498,500.855,-753.47,15.4053,1132.46,-738.303,14.9075,1772.57,-749.114,27.0659,,,
27,0,1348.6,-53.8391,25.9959,1617.74,392.453,26.5466,1586.98,1122.72,47.8239,1092.87,1093.27,38.9827,442.379,1070.61,42.6935,515.584,-8.15477,18.7382,2304.45,226.838,38.7135,781.111,446.903,22.4944,-157.952,-27.4436,35.1886,500.853,-753.493,15.3133,1132.45,-738.288,14.8432,1772.74,-748.991,26.9983,,,
28,0,1348.59,-53.8444,25.9326,1617.75,392.446,26.5236,1587.02,1122.74,47.8592,1092.79,1093.12,38.6319,442.409,1070.61,42.6351,515.531,-7.96246,18.9688,2304.46,226.835,38.7025,781.163,446.876,22.5062,-157.965,-27.4685,35.293,500.989,-753.435,15.4634,1132.48,-738.331,14.8969,1772.6,-749.109,27.0674,,,
29,0,1348.5,-53.839,25.9231,1617.75,392.453,26.5384,1587.02,1122.75,47.9049,1092.71,1093.14,38.6628,442.461,1070.58,42.7073,515.564,-8.14681,18.6906,2304.46,226.818,38.718,781.15,446.878,22.5442,-157.983,-27.4226,35.2094,501.064,-753.453,15.4405,1132.49,-738.262,14.8509,1772.63,-749.109,27.0609,,,
30,0,1348.57,-53.8329,25.9592,1617.74,392.416,26.5594,1586.88,1122.77,47.7252,1092.75,1093.12,38.6479,442.493,1070.58,42.7812,515.651,-8.16737,18.7365,2304.46,226.824,38.7198,781.16,446.861,22.5117,-157.913,-27.5102,35.1221,500.802,-753.408,15.4182,1132.54,-738.249,14.9462,1772.66,-749.094,27.0717,,,
31,0,1348.58,-53.8483,25.969,1617.75,392.442,26.5642,1586.72,1122.95,47.4512,1092.78,1093.09,38.6851,442.529,1070.58,42.809,515.625,-8.18103,18.7076,2304.45,226.812,38.7519,781.194,446.877,22.6013,-157.954,-27.4499,35.2225,500.698,-753.407,15.3507,1132.47,-738.293,14.9037,1772.59,-749.13,27.0408,,,
32,0,1348.6,-53.8097,25.9748,1617.73,392.448,26.5391,1586.86,1122.79,47.674,1092.8,1093.12,38.6739,442.434,1070.6,42.6797,515.733,-8.1986,18.6694,2304.46,226.816,38.7363,781.338,446.833,22.5803,-158.271,-27.7514,34.9115,500.765,-753.387,15.3383,1132.52,-738.295,14.9139,1772.66,-749.133,27.0983,,,
33,0,1348.64,-53.8195,26.017,1617.74,392.467,26.5181,1586.87,1122.82,47.649,1092.73,1093.16,38.6335,442.439,1070.59,42.7091,515.615,-8.14601,18.6203,2304.46,226.832,38.6972,781.178,446.855,22.5665,-157.925,-27.4966,35.0866,501.014,-753.42,15.4492,1132.45,-738.269,14.7824,1772.59,-749.095,27.0727,,,
34,0,1348.58,-53.846,25.9221,1617.74,392.438,26.537,1586.7,1122.96,47.4142,1092.84,1093.08,38.644,442.411,1070.59,42.6494,515.587,-7.94242,19.0293,2304.49,226.835,38.7303,781.217,446.881,22.5248,-157.981,-27.455,35.1033,500.769,-753.508,15.2882,1132.4,-738.271,14.7758,1772.53,-749.125,27.0363,,,
35,0,1348.59,-53.7921,25.9453,1617.74,392.442,26.554,1586.93,1122.92,47.9282,1092.7,1093.17,38.6795,442.431,1070.59,42.739,515.56,-8.06244,18.6388,2304.42,226.779,38.717,781.206,446.924,22.5354,-157.974,-27.4855,35.1128,500.925,-753.423,15.4657,1132.42,-738.303,14.8645,1772.54,-749.141,27.0827,,,
36,0,1348.6,-53.7453,25.9909,1617.76,392.44,26.5715,1586.89,1122.9,47.8767,1092.7,1093.17,38.6649,442.496,1070.58,42.8169,515.681,-8.09278,18.6386,2304.45,226.806,38.7452,781.192,446.888,22.5868,-157.961,-27.5046,35.2536,500.599,-753.396,15.2623,1132.51,-738.281,14.9492,1772.53,-749.145,27.1191,,,
37,0,1348.6,-53.8454,25.9678,1617.73,392.45,26.529,1586.88,1122.88,47.813,1092.82,1093.11,38.6789,442.447,1070.58,42.749,515.579,-8.21104,18.6661,2304.43,226.78,38.7229,781.221,446.852,22.531,-157.861,-27.4518,35.1082,500.765,-753.442,15.3032,1132.49,-738.323,14.9079,1772.55,-749.192,27.1022,,,
38,0,1348.61,-53.8174,25.9739,1617.74,392.447,26.5205,1586.88,1122.91,47.8302,1092.79,1093.09,38.6179,442.455,1070.59,42.7273,515.608,-8.21279,18.6604,2304.47,226.836,38.7069,781.184,446.877,22.5627,-158.296,-27.7426,34.7508,500.817,-753.437,15.3421,1132.48,-738.267,14.8411,1772.54,-749.175,27.0665,,,
39,0,1348.57,-53.8487,25.9234,1617.84,392.552,26.7408,1586.96,1122.92,47.9322,1092.71,1093.17,38.6302,442.435,1070.57,42.7522,515.444,-8.12891,18.6337,2304.47,226.836,38.7196,781.173,446.864,22.5346,-157.957,-27.4299,35.0835,500.881,-753.415,15.3429,1132.49,-738.234,14.8066,1772.75,-748.964,27.0134,,,
40,0,1348.57,-53.8501,25.943,1617.83,392.55,26.7464,1586.96,1122.89,47.963,1092.83,1093.07,38.6611,442.336,1070.6,42.6198,515.546,-8.18521,18.6796,2304.48,226.815,38.7616,781.18,446.875,22.5797,-158.351,-27.7938,34.6295,500.942,-753.404,15.4726,1132.44,-738.245,14.7928,1772.66,-749.132,27.1281,,,
41,0,1348.63,-53.8113,25.9896,1617.81,392.559,26.7396,1586.93,1122.9,47.9733,1092.8,1093.1,38.6492,442.247,1070.66,42.5111,515.719,-8.24303,18.6919,2304.45,226.813,38.7389,781.166,446.93,22.5541,-158.406,-27.8412,34.6166,500.905,-753.393,15.3904,1132.45,-738.281,14.8684,1772.63,-749.125,27.082,,,
42,0,1348.61,-53.8352,26,1617.82,392.56,26.7425,1586.97,1122.92,48.0179,1092.7,1093.15,38.6551,442.402,1070.58,42.6883,515.721,-7.89779,19.0262,2304.46,226.812,38.7313,781.308,446.844,22.5547,-157.921,-27.4501,35.1565,500.748,-753.344,15.3675,1132.48,-738.27,14.9072,1772.63,-749.103,27.0656,,,
43,0,1348.57,-53.8182,25.9576,1617.83,392.561,26.7434,1586.95,1122.85,47.9447,1092.74,1093.14,38.6404,442.484,1070.58,42.7367,515.515,-8.12836,18.6846,2304.48,226.803,38.7409,781.178,446.827,22.562,-157.993,-27.4472,35.2579,500.794,-753.408,15.3511,1132.47,-738.263,14.8285,1772.6,-749.096,27.0248,,,
44,0,1348.61,-53.8422,26.0033,1617.82,392.583,26.7813,1586.93,1122.9,47.9552,1092.81,1093.08,38.6457,442.472,1070.57,42.7848,515.479,-7.85337,19.0254,2304.47,226.841,38.7312,781.126,446.868,22.5497,-157.93,-27.4386,35.203,500.817,-753.41,15.3918,1132.45,-738.324,14.8734,1772.57,-749.094,27.0642,,,
45,0,1348.5,-53.8936,25.9385,1617.82,392.588,26.785,1586.93,1122.86,48.0046,1092.77,1093.11,38.6885,442.488,1070.58,42.7931,515.583,-7.8818,19.1146,2304.42,226.818,38.6846,781.194,446.877,22.526,-157.936,-27.4697,35.1533,500.871,-753.378,15.4021,1132.45,-738.256,14.8568,1772.55,-749.134,27.0467,,,
46,0,1348.58,-53.812,25.9294,1617.83,392.598,26.8042,1586.94,1122.86,48.0202,1092.71,1093.19,38.6612,442.472,1070.57,42.7649,515.669,-8.11969,18.6727,2304.45,226.825,38.7486,781.343,446.83,22.5708,-157.963,-27.4612,35.2726,500.807,-753.451,15.3405,1132.28,-738.518,14.6638,1772.54,-749.145,27.0536,,,
47,0,1348.08,-54.0005,25.6952,1617.83,392.604,26.7822,1586.96,1122.84,48.007,1092.69,1093.17,38.6689,442.53,1070.58,42.7848,515.718,-7.8495,18.9838,2304.46,226.809,38.7533,781.26,446.808,22.5871,-157.932,-27.415,35.1049,500.732,-753.413,15.3089,1132.21,-738.518,14.6211,1772.55,-749.177,27.0798,,,
48,0,1348.05,-53.9698,25.7215,1617.84,392.6,26.8078,1587,1122.87,48.0591,1092.75,1093.29,38.8323,442.475,1070.57,42.7869,515.642,-8.2133,18.8127,2304.48,226.843,38.7121,781.2,446.861,22.51,-157.931,-27.4593,35.2289,500.705,-753.363,15.3092,1132.21,-738.557,14.6382,1772.61,-749.124,27.1002,,,
