Objects
100
,,Global Angle quackgpt:quackgpt,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
83,0,-0.00628343,-0.00379402,0.0496092,1305.38,-408.198,143.588
84,0,-0.0066398,-0.00374323,0.0496345,1305.39,-408.202,143.622
85,0,-0.00691887,-0.00367295,0.0497597,1305.38,-408.191,143.607
86,0,-0.00593129,-0.00373475,0.0497912,1305.38,-408.19,143.602
87,0,-0.0059989,-0.00365023,0.0494972,1305.36,-408.249,143.591
88,0,-0.00792834,-0.00283669,0.0501361,1305.4,-408.193,143.65
89,0,-0.00659703,-0.00380491,0.0497264,1305.39,-408.187,143.62
90,0,-0.00735304,-0.0028878,0.0496997,1305.38,-408.261,143.616
91,0,-0.00635562,-0.00366005,0.0497899,1305.39,-408.183,143.626
92,0,-0.00644856,-0.00376347,0.0498726,1305.39,-408.184,143.621
93,0,-0.00640507,-0.00382357,0.0495564,1305.38,-408.194,143.612
94,0,-0.00651429,-0.00379897,0.0495817,1305.38,-408.192,143.596
95,0,-0.00617981,-0.00368559,0.0497104,1305.38,-408.181,143.593
96,0,-0.00544689,-0.00370091,0.0493158,1305.36,-408.252,143.601
97,0,-0.0066933,-0.00386003,0.0498924,1305.38,-408.204,143.612
98,0,-0.00763177,-0.00294438,0.0502044,1305.41,-408.21,143.659
99,0,-0.00635719,-0.00401808,0.049605,1305.38,-408.191,143.609
100,0,-0.00686887,-0.00368163,0.0497209,1305.39,-408.186,143.624
101,0,-0.00619703,-0.00375533,0.0497032,1305.38,-408.184,143.609
102,0,-0.00815642,-0.00302976,0.0502739,1305.4,-408.198,143.639
103,0,-0.00634706,-0.00362288,0.0496678,1305.39,-408.174,143.608
104,0,-0.00817444,-0.00305213,0.0501609,1305.4,-408.199,143.662
105,0,-0.00632082,-0.00394129,0.0496504,1305.39,-408.181,143.618
106,0,-0.00773176,-0.00279496,0.0502733,1305.39,-408.199,143.636
107,0,-0.00802484,-0.00299219,0.0501782,1305.4,-408.21,143.632
108,0,-0.00682637,-0.00387473,0.0497331,1305.39,-408.192,143.613
109,0,-0.0062624,-0.00359466,0.0497486,1305.38,-408.19,143.582
110,0,-0.00721204,-0.00303338,0.0496703,1305.38,-408.264,143.619
111,0,-0.00750223,-0.0027443,0.0498257,1305.37,-408.253,143.622
112,0,-0.00797963,-0.00291095,0.0502388,1305.4,-408.19,143.649
113,0,-0.00676765,-0.00379421,0.0497729,1305.39,-408.179,143.622
114,0,-0.00654994,-0.00383541,0.0497426,1305.39,-408.196,143.606
115,0,-0.00785116,-0.00287273,0.0502431,1305.4,-408.218,143.636
116,0,-0.00635185,-0.00358963,0.0497267,1305.37,-408.181,143.598
117,0,-0.00622797,-0.00364807,0.0496933,1305.38,-408.191,143.598
118,0,-0.00819982,-0.00315996,0.049881,1305.4,-408.208,143.652
