Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
17,0,1347.75,-54.0729,25.6249,436.68,1087.67,17.3871,1069.12,1099.69,21.2453,2284.34,228.715,28.8422,1617.87,392.617,26.9607,781.381,447.174,23.1762,517.008,-8.04207,18.4436,1132.19,-738.386,14.676,1565.04,1103.63,24.468,1772.45,-749.142,27.233,502.492,-753.713,16.2291,-155.44,8.57688,19.7084
18,0,1347.74,-54.0315,25.6139,436.715,1087.65,17.335,1069.09,1099.7,21.2686,2284.37,228.715,28.871,1617.89,392.638,26.9786,781.423,447.183,23.1087,517.092,-8.08291,18.4673,1132.16,-738.404,14.6755,1565.04,1103.64,24.4765,1772.48,-749.154,27.2415,502.459,-753.72,16.1626,-155.322,8.58454,19.5185
19,0,1347.81,-54.0646,25.668,437.339,1087.37,17.7818,1069.13,1099.63,21.2885,2284.35,228.727,28.8442,1617.89,392.617,26.9779,781.459,447.112,23.1329,517.141,-8.11626,18.5016,1132.18,-738.393,14.6814,1565.04,1103.62,24.4684,1772.74,-748.933,27.1446,501.47,-753.589,15.6641,-155.385,8.59144,19.5032
20,0,1347.79,-54.0876,25.6627,436.799,1087.62,17.5158,1069.06,1099.69,21.2473,2284.33,228.718,28.8773,1617.88,392.621,26.9688,781.333,447.152,23.0935,516.979,-7.99138,18.4276,1132.15,-738.403,14.6611,1565.03,1103.63,24.4522,1772.7,-748.95,27.1236,502.84,-753.534,16.449,-155.353,8.60177,19.7109
21,0,1347.76,-54.0602,25.6361,437.419,1087.22,17.8541,1069.13,1099.63,21.2634,2284.29,228.689,28.8243,1617.86,392.632,26.9527,781.292,447.203,23.077,516.889,-8.07178,18.4454,1132.16,-738.382,14.6533,1565.04,1103.61,24.469,1772.58,-749.056,27.2023,502.717,-753.626,16.3687,-155.424,8.60535,19.626
22,0,1347.8,-54.0813,25.6483,437.455,1087.25,17.8777,1069.06,1099.69,21.2353,2284.32,228.704,28.8279,1617.87,392.645,26.9658,781.455,447.128,23.0709,516.887,-8.04611,18.4319,1132.19,-738.345,14.6376,1565.04,1103.63,24.4724,1772.58,-749.077,27.182,502.68,-753.665,16.322,-155.422,8.58868,19.6437
23,0,1347.78,-54.0917,25.6484,437.775,1086.98,18.1325,1069.07,1099.7,21.2531,2284.36,228.699,28.874,1617.88,392.611,26.9688,781.375,447.127,23.0923,516.917,-7.97927,18.4055,1132.25,-738.372,14.7364,1565.11,1103.61,24.5038,1772.59,-749.063,27.1529,502.528,-753.691,16.1996,-155.434,8.58763,19.6197
24,0,1347.77,-54.0662,25.6285,437.847,1086.96,18.0971,1069.08,1099.72,21.2467,2284.39,228.726,28.9019,1617.86,392.639,26.9655,781.363,447.111,23.0445,517.063,-8.1081,18.421,1132.17,-738.371,14.6926,1565.04,1103.62,24.4879,1772.59,-749.076,27.205,502.571,-753.674,16.2657,-155.447,8.58783,19.5787
25,0,1347.74,-54.0755,25.6034,437.811,1086.96,18.0877,1069.13,1099.63,21.2457,2284.39,228.719,28.9069,1617.87,392.637,26.9728,781.334,447.121,23.1088,516.889,-7.98444,18.4693,1132.21,-738.394,14.6461,1565.04,1103.61,24.4857,1772.56,-749.071,27.1708,502.581,-753.718,16.2905,-155.409,8.57788,19.6728
26,0,1347.76,-54.1025,25.6517,436.75,1087.78,17.1576,1069.05,1099.69,21.219,2284.36,228.731,28.8899,1617.87,392.628,26.957,781.257,447.149,23.0412,516.91,-7.99315,18.4426,1132.16,-738.416,14.6654,1565.04,1103.62,24.4835,1772.57,-749.092,27.2016,502.721,-753.69,16.3641,-155.357,8.63994,19.5395
27,0,1347.72,-54.126,25.6734,437.246,1087.41,17.6901,1069.04,1099.7,21.204,2284.31,228.693,28.8201,1617.87,392.621,26.9468,781.327,447.131,23.0444,516.973,-8.00946,18.3709,1132.18,-738.364,14.6449,1565.06,1103.6,24.4492,1772.55,-749.103,27.1526,502.821,-753.559,16.3904,-155.408,8.58874,19.5511
28,0,1347.72,-54.1213,25.6298,437.387,1087.27,17.6786,1069.04,1099.71,21.2453,2284.34,228.708,28.8451,1617.88,392.622,26.9639,781.38,447.134,23.0666,516.881,-7.97877,18.5269,1132.17,-738.402,14.6488,1565.04,1103.61,24.4682,1772.56,-749.11,27.2222,502.639,-753.685,16.3558,-155.441,8.59088,19.589
29,0,1347.79,-54.107,25.6826,437.317,1087.35,17.7262,1069.11,1099.64,21.2489,2284.35,228.741,28.882,1617.87,392.629,26.9599,781.398,447.113,23.0469,516.965,-8.03652,18.4915,1132.18,-738.357,14.6547,1565.04,1103.64,24.4702,1772.49,-749.13,27.1862,502.525,-753.728,16.2492,-155.454,8.59154,19.5897
30,0,1347.68,-54.129,25.6425,437.382,1087.31,17.7057,1069.11,1099.68,21.2405,2284.38,228.727,28.8844,1617.88,392.652,26.9753,781.323,447.123,23.0243,517.028,-8.03228,18.4365,1132.19,-738.391,14.7194,1565.06,1103.62,24.4936,1772.53,-749.122,27.2409,502.571,-753.706,16.2698,-155.446,8.55338,19.4986
31,0,1347.73,-54.0799,25.6217,437.425,1087.26,17.7468,1069.15,1099.65,21.2515,2284.36,228.72,28.865,1617.87,392.623,26.9537,781.313,447.111,23.0417,517.004,-8.02552,18.313,1132.18,-738.404,14.6872,1565.06,1103.62,24.4957,1772.47,-749.161,27.215,502.822,-753.593,16.4484,-155.44,8.59064,19.5588
32,0,1347.79,-54.0958,25.6883,436.71,1087.69,17.4478,1069.09,1099.69,21.2356,2284.38,228.73,28.8904,1617.88,392.632,26.9639,781.274,447.123,23.0277,517.048,-8.06779,18.5009,1132.18,-738.399,14.695,1565.05,1103.61,24.4915,1772.5,-749.198,27.2267,502.542,-753.727,16.247,-155.431,8.62995,19.4862
33,0,1347.75,-54.125,25.6728,436.785,1087.6,17.4713,1069.11,1099.68,21.2622,2284.37,228.728,28.871,1617.87,392.623,26.9524,781.314,447.159,23.0416,516.915,-7.99828,18.4884,1132.2,-738.389,14.6768,1565.03,1103.62,24.4689,1772.45,-749.178,27.2296,502.501,-753.733,16.2076,-155.44,8.60741,19.5474
34,0,1347.74,-54.0601,25.5995,436.853,1087.57,17.5535,1069.09,1099.68,21.266,2284.38,228.717,28.8679,1617.87,392.63,26.9663,781.338,447.139,23.0821,516.911,-7.99687,18.4201,1132.17,-738.382,14.7045,1565.05,1103.61,24.4766,1772.48,-749.188,27.2477,502.533,-753.65,16.2145,-155.418,8.57417,19.5773
35,0,1347.78,-54.0796,25.6926,436.87,1087.56,17.6,1069.11,1099.65,21.2377,2284.34,228.676,28.9138,1617.88,392.637,26.9795,781.292,447.135,23.0293,516.894,-8.08129,18.4233,1132.16,-738.415,14.6823,1565.03,1103.65,24.4856,1772.46,-749.173,27.1939,502.519,-753.749,16.2671,-155.386,8.62184,19.5774
36,0,1347.78,-54.0959,25.654,437.683,1087.12,18.0546,1069.1,1099.67,21.2492,2284.33,228.7,28.8524,1617.86,392.647,26.9599,781.39,447.097,23.0593,517.044,-8.0575,18.4047,1132.15,-738.423,14.6728,1565.03,1103.62,24.4685,1772.48,-749.171,27.232,502.484,-753.676,16.175,-155.412,8.60873,19.4679
37,0,1347.71,-54.0987,25.6537,436.943,1087.5,17.6174,1069.1,1099.67,21.2271,2284.33,228.696,28.843,1617.86,392.631,26.9655,781.249,447.129,22.9997,516.934,-8.05353,18.3013,1132.2,-738.397,14.6967,1565.05,1103.62,24.4697,1772.47,-749.197,27.1757,502.623,-753.678,16.2401,-155.462,8.58563,19.5121
38,0,1347.74,-54.0304,25.6219,437.008,1087.46,17.6706,1069.14,1099.66,21.2487,2284.34,228.698,28.8475,1617.86,392.62,26.9583,781.377,447.109,23.0313,517.135,-8.09801,18.4943,1132.18,-738.374,14.6671,1565.02,1103.64,24.4772,1772.48,-749.143,27.2133,502.736,-753.82,16.4437,-155.482,8.58652,19.5242
