Objects
100
,,Global Angle ducker:ducker,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
85,0,0.00223881,-0.00956675,0.00184433,1340.51,-404.946,143.229
86,0,0.00207822,-0.00946029,0.00208416,1340.51,-404.938,143.234
87,0,0.00233782,-0.00954834,0.00199493,1340.51,-404.937,143.24
88,0,0.00218075,-0.00962271,0.0019097,1340.5,-404.945,143.232
89,0,0.00270932,-0.00958644,0.00193166,1340.51,-404.959,143.217
90,0,0.00246868,-0.0096933,0.00183986,1340.5,-404.953,143.214
91,0,0.00201436,-0.00959821,0.00194403,1340.51,-404.937,143.219
92,0,0.00228238,-0.00970757,0.00179286,1340.51,-404.937,143.228
93,0,0.00233934,-0.00959646,0.00183947,1340.51,-404.949,143.246
94,0,0.00227178,-0.00961056,0.00189941,1340.51,-404.938,143.234
95,0,0.00213341,-0.00942893,0.00197742,1340.51,-404.948,143.233
96,0,0.00196633,-0.00944568,0.00196169,1340.51,-404.953,143.215
97,0,0.0025447,-0.00963213,0.00193056,1340.51,-404.953,143.233
98,0,0.00238277,-0.00972602,0.00187557,1340.5,-404.94,143.224
99,0,0.00251584,-0.00982435,0.00187142,1340.51,-404.94,143.253
100,0,0.00227503,-0.0095606,0.00193378,1340.52,-404.934,143.242
101,0,0.00231536,-0.00969339,0.00187191,1340.51,-404.954,143.225
102,0,0.00262997,-0.009528,0.00197478,1340.51,-404.952,143.219
103,0,0.00295899,-0.009715,0.0018995,1340.51,-404.945,143.233
104,0,0.0022943,-0.00976285,0.00190181,1340.51,-404.94,143.239
105,0,0.00224792,-0.00969328,0.00193326,1340.51,-404.927,143.231
106,0,0.00232229,-0.00964923,0.00177298,1340.51,-404.947,143.221
107,0,0.00210111,-0.00955722,0.00177117,1340.51,-404.951,143.234
108,0,0.00193907,-0.00956545,0.00194432,1340.5,-404.95,143.237
109,0,0.00229779,-0.00964044,0.00190801,1340.52,-404.943,143.231
110,0,0.00206945,-0.00955763,0.00189712,1340.52,-404.934,143.236
111,0,0.00232189,-0.00969724,0.00184803,1340.51,-404.934,143.22
112,0,0.00251628,-0.00952316,0.00195695,1340.51,-404.944,143.233
113,0,0.00230989,-0.00953438,0.00195803,1340.51,-404.952,143.238
114,0,0.00249507,-0.00951789,0.00195485,1340.5,-404.962,143.225
115,0,0.00237558,-0.00966029,0.00178261,1340.51,-404.938,143.224
116,0,0.00167319,-0.00944784,0.00202226,1340.51,-404.927,143.232
117,0,0.00259975,-0.00964352,0.00182915,1340.51,-404.938,143.24
118,0,0.00246351,-0.00970768,0.00184928,1340.51,-404.955,143.239
119,0,0.00277484,-0.00970813,0.0017866,1340.51,-404.961,143.232
120,0,0.00258592,-0.00973986,0.00178526,1340.5,-404.947,143.204
121,0,0.0022487,-0.00978819,0.00185593,1340.51,-404.946,143.218
122,0,0.00179071,-0.00973191,0.00186815,1340.51,-404.936,143.234
123,0,0.0026103,-0.00959048,0.00198457,1340.51,-404.945,143.252
124,0,0.0023486,-0.00961285,0.0019538,1340.51,-404.947,143.24
125,0,0.00225123,-0.00965751,0.00178395,1340.52,-404.956,143.206
126,0,0.00209443,-0.00957661,0.00205261,1340.51,-404.959,143.207
127,0,0.00246171,-0.00953429,0.00195945,1340.5,-404.936,143.237
128,0,0.00256395,-0.00960514,0.00194495,1340.5,-404.93,143.243
129,0,0.00261519,-0.00967212,0.00193034,1340.51,-404.933,143.245
130,0,0.00240032,-0.00971797,0.00202209,1340.51,-404.95,143.215
131,0,0.00220252,-0.00986239,0.00175724,1340.51,-404.962,143.213
132,0,0.00223326,-0.0096222,0.00201613,1340.5,-404.954,143.234
133,0,0.00238339,-0.00962488,0.00194234,1340.5,-404.94,143.244
134,0,0.00241647,-0.00963364,0.00200366,1340.52,-404.933,143.232
135,0,0.00246779,-0.00946351,0.00189127,1340.51,-404.944,143.225
136,0,0.00168175,-0.00960853,0.00196519,1340.51,-404.951,143.229
137,0,0.00226048,-0.00970447,0.00197697,1340.51,-404.95,143.233
138,0,0.00193194,-0.00958722,0.00190976,1340.51,-404.95,143.24
139,0,0.00261881,-0.00963063,0.00193284,1340.51,-404.945,143.226
140,0,0.00213601,-0.00982878,0.00178647,1340.52,-404.933,143.224
141,0,0.00229704,-0.00964257,0.00186595,1340.5,-404.939,143.226
142,0,0.00242714,-0.00949015,0.00187533,1340.5,-404.947,143.226
143,0,0.002273,-0.00956315,0.00188945,1340.51,-404.962,143.235
