Objects
100
,,Global Angle quackGPT:quackGPT,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
86,0,0.0120537,-0.00315642,-0.0117738,921.274,-519.414,137.673
87,0,0.0120679,-0.00334402,-0.0116688,921.267,-519.439,137.643
88,0,0.0122874,-0.00303591,-0.0120154,921.278,-519.434,137.661
89,0,0.0122091,-0.00336898,-0.0117444,921.277,-519.425,137.652
90,0,0.011951,-0.00330623,-0.0121042,921.29,-519.418,137.68
91,0,0.0109078,-0.00362658,-0.0118827,921.308,-519.426,137.715
92,0,0.0120718,-0.00327539,-0.0119363,921.273,-519.412,137.667
93,0,0.0123785,-0.00340348,-0.0119858,921.264,-519.422,137.625
94,0,0.0101812,-0.00325172,-0.0117824,921.3,-519.428,137.684
95,0,0.0117939,-0.00309846,-0.0119034,921.283,-519.427,137.662
96,0,0.0121898,-0.00304224,-0.0118844,921.285,-519.425,137.688
97,0,0.0122658,-0.00336524,-0.0118001,921.266,-519.419,137.656
98,0,0.0108334,-0.00366275,-0.0114964,921.29,-519.438,137.672
99,0,0.0124113,-0.00329947,-0.0117393,921.264,-519.408,137.623
100,0,0.0118077,-0.00307147,-0.0118543,921.281,-519.432,137.658
101,0,0.0122091,-0.00310027,-0.0119085,921.273,-519.421,137.674
102,0,0.0110503,-0.00335936,-0.0117496,921.298,-519.432,137.717
103,0,0.0119817,-0.00317845,-0.0117576,921.275,-519.406,137.659
104,0,0.0114686,-0.00324592,-0.011633,921.283,-519.413,137.655
105,0,0.0123281,-0.00316519,-0.0118891,921.274,-519.431,137.652
106,0,0.0139742,-0.00183773,-0.0120893,921.319,-519.441,137.738
107,0,0.0107441,-0.00338579,-0.011744,921.295,-519.443,137.704
108,0,0.0123465,-0.00319581,-0.0118569,921.264,-519.42,137.643
109,0,0.0121328,-0.00316039,-0.0119489,921.273,-519.411,137.657
110,0,0.0116528,-0.0031765,-0.0118477,921.271,-519.416,137.644
111,0,0.0115186,-0.00296575,-0.0117236,921.28,-519.42,137.667
112,0,0.0119948,-0.00326167,-0.0117229,921.269,-519.425,137.655
113,0,0.0120012,-0.00294237,-0.0117992,921.283,-519.412,137.665
114,0,0.0120896,-0.00334479,-0.0116145,921.269,-519.431,137.658
115,0,0.0115913,-0.00347445,-0.0117353,921.272,-519.412,137.659
116,0,0.0119432,-0.00363464,-0.0117983,921.268,-519.434,137.648
117,0,0.0103658,-0.00338717,-0.0115271,921.295,-519.435,137.696
118,0,0.0119128,-0.00311975,-0.0117271,921.277,-519.424,137.646
119,0,0.0120547,-0.00319329,-0.0117915,921.273,-519.411,137.654
120,0,0.0118306,-0.0030309,-0.011605,921.281,-519.424,137.665
121,0,0.0123218,-0.00340775,-0.0120307,921.261,-519.417,137.663
122,0,0.0113857,-0.00320994,-0.0117083,921.267,-519.409,137.658
123,0,0.0106183,-0.00352178,-0.011469,921.294,-519.447,137.684
124,0,0.0117309,-0.00300268,-0.011996,921.276,-519.425,137.658
125,0,0.012154,-0.00355638,-0.0115569,921.27,-519.428,137.653
126,0,0.0115896,-0.00338444,-0.0117653,921.271,-519.439,137.655
127,0,0.0119622,-0.00348481,-0.0118327,921.265,-519.417,137.648
128,0,0.0107527,-0.00332941,-0.0117642,921.296,-519.423,137.689
129,0,0.0121651,-0.00308867,-0.0117859,921.269,-519.411,137.645
130,0,0.0108668,-0.0033903,-0.0115723,921.283,-519.43,137.699
131,0,0.0122324,-0.00327126,-0.012034,921.269,-519.426,137.668
132,0,0.0118296,-0.00334738,-0.0118806,921.281,-519.417,137.671
133,0,0.0116063,-0.00338917,-0.0118557,921.279,-519.418,137.657
134,0,0.010242,-0.0034642,-0.0116864,921.294,-519.427,137.692
135,0,0.0115505,-0.00323611,-0.01179,921.268,-519.417,137.659
136,0,0.0124287,-0.00335293,-0.0118416,921.264,-519.426,137.649
137,0,0.0110232,-0.00349723,-0.0118557,921.293,-519.436,137.694
138,0,0.0112909,-0.00312458,-0.0119486,921.282,-519.421,137.673
139,0,0.0120585,-0.00351129,-0.0115933,921.274,-519.423,137.661
140,0,0.0117718,-0.00320623,-0.0118461,921.256,-519.411,137.652
141,0,0.0122403,-0.00323264,-0.0117962,921.261,-519.405,137.651
142,0,0.0119308,-0.00297843,-0.0116834,921.283,-519.418,137.658
143,0,0.0116192,-0.00331922,-0.0117654,921.274,-519.438,137.66
144,0,0.0116357,-0.00316871,-0.0115942,921.26,-519.409,137.641
145,0,0.0119186,-0.00332294,-0.0116825,921.269,-519.41,137.662
146,0,0.0117767,-0.00338132,-0.0116259,921.269,-519.412,137.663
147,0,0.0132126,-0.00393161,-0.0118327,921.253,-519.423,137.631
148,0,0.0133189,-0.00178698,-0.0118668,921.229,-519.429,137.562
149,0,0.0130586,-0.00194534,-0.0116312,921.223,-519.444,137.566
150,0,0.0131255,-0.00191134,-0.0117932,921.214,-519.429,137.558
151,0,0.0133256,-0.00184647,-0.0118377,921.22,-519.427,137.558
152,0,0.0123728,-0.00191625,-0.0115214,921.202,-519.403,137.53
153,0,0.0121989,-0.0017434,-0.0115662,921.206,-519.405,137.531
154,0,0.0121808,-0.00191487,-0.0115791,921.208,-519.414,137.532
155,0,0.0122,-0.00186156,-0.0116026,921.209,-519.416,137.543
156,0,0.0121254,-0.00202219,-0.0114245,921.207,-519.412,137.526
157,0,0.0121392,-0.00183783,-0.0115237,921.211,-519.409,137.534
158,0,0.0123154,-0.00214703,-0.0114061,921.199,-519.411,137.517
159,0,0.0124605,-0.00168351,-0.0116041,921.201,-519.406,137.525
160,0,0.0116485,-0.00191904,-0.011402,921.203,-519.42,137.532
161,0,0.0122524,-0.00182849,-0.0115213,921.192,-519.412,137.523
162,0,0.0120854,-0.00186663,-0.0117035,921.197,-519.407,137.527
163,0,0.0122956,-0.00176689,-0.0115422,921.201,-519.405,137.529
164,0,0.0123415,-0.00192365,-0.0114459,921.207,-519.408,137.521
165,0,0.0122624,-0.00169236,-0.0116144,921.192,-519.414,137.54
166,0,0.012319,-0.0016521,-0.011636,921.206,-519.407,137.529
167,0,0.0119128,-0.00178214,-0.0115876,921.204,-519.418,137.516
168,0,0.0125387,-0.0018492,-0.0115388,921.214,-519.412,137.526
169,0,0.0118158,-0.0017119,-0.0115679,921.203,-519.401,137.535
170,0,0.0123276,-0.00189894,-0.011472,921.206,-519.408,137.537
171,0,0.0122799,-0.00159873,-0.0115052,921.209,-519.409,137.538
172,0,0.0112987,-0.0011349,-0.0117034,921.222,-519.408,137.56
173,0,0.0115191,-0.00147383,-0.0116742,921.21,-519.42,137.552
174,0,0.0112054,-0.00112216,-0.0116041,921.205,-519.404,137.565
175,0,0.0119709,-0.0015431,-0.0116294,921.205,-519.4,137.552
176,0,0.0115268,-0.00140801,-0.0115608,921.212,-519.401,137.545
177,0,0.0114607,-0.0015034,-0.011737,921.217,-519.411,137.557
178,0,0.0112658,-0.00132231,-0.0116995,921.229,-519.408,137.561
179,0,0.0116432,-0.00322891,-0.0119301,921.258,-519.412,137.631
180,0,0.0110951,-0.00298162,-0.0116635,921.249,-519.392,137.635
181,0,0.0107443,-0.00312372,-0.011639,921.262,-519.396,137.658
182,0,0.0106281,-0.00362497,-0.0115459,921.261,-519.417,137.631
183,0,0.0112803,-0.00316177,-0.0115425,921.252,-519.417,137.631
184,0,0.00984286,-0.00322459,-0.0115478,921.282,-519.431,137.689
185,0,0.0107932,-0.00362886,-0.011688,921.275,-519.452,137.691
186,0,0.0106789,-0.00363813,-0.0117613,921.284,-519.427,137.689
187,0,0.0108869,-0.00366437,-0.0118337,921.285,-519.441,137.672
188,0,0.0121541,-0.00329604,-0.0120952,921.257,-519.42,137.64
189,0,0.0114431,-0.00296505,-0.0118589,921.264,-519.413,137.667
190,0,0.0124192,-0.00333109,-0.011895,921.271,-519.418,137.662
191,0,0.0121649,-0.00371736,-0.0117598,921.264,-519.426,137.657
192,0,0.0102939,-0.00364922,-0.0114427,921.29,-519.433,137.692
193,0,0.0122024,-0.00351636,-0.0117271,921.265,-519.426,137.641
194,0,0.0120157,-0.00323343,-0.0118147,921.26,-519.425,137.657
195,0,0.0123303,-0.00345585,-0.0121176,921.26,-519.423,137.652
196,0,0.0119454,-0.00349652,-0.0117503,921.255,-519.433,137.648
197,0,0.011987,-0.00309572,-0.0120542,921.268,-519.417,137.658
198,0,0.0108724,-0.00361582,-0.0119855,921.287,-519.441,137.693
199,0,0.0125,-0.00369391,-0.0116694,921.256,-519.42,137.646
200,0,0.011981,-0.00333937,-0.0117904,921.269,-519.418,137.66
201,0,0.0120313,-0.00322314,-0.0117135,921.272,-519.414,137.669
202,0,0.0119108,-0.00324093,-0.0117753,921.264,-519.419,137.648
203,0,0.0114157,-0.00327165,-0.0117976,921.263,-519.419,137.643
204,0,0.0119215,-0.00315307,-0.0118308,921.262,-519.418,137.66
205,0,0.011601,-0.00319183,-0.0118023,921.264,-519.432,137.671
206,0,0.0102614,-0.0034533,-0.0117689,921.276,-519.433,137.682
207,0,0.0120055,-0.0032945,-0.0120501,921.268,-519.419,137.647
208,0,0.0130577,-0.00374553,-0.0118413,921.246,-519.426,137.623
209,0,0.013147,-0.00399231,-0.0119889,921.242,-519.438,137.615
210,0,0.0131092,-0.00195335,-0.0115575,921.209,-519.431,137.563
211,0,0.0130586,-0.0016577,-0.0118058,921.212,-519.425,137.557
212,0,0.0124534,-0.00209534,-0.01151,921.198,-519.415,137.536
213,0,0.0131999,-0.00200446,-0.011812,921.208,-519.434,137.564
214,0,0.0130865,-0.00218998,-0.0118474,921.213,-519.427,137.562
215,0,0.0120205,-0.00190804,-0.0115339,921.185,-519.41,137.53
216,0,0.0135392,-0.00199248,-0.0117659,921.222,-519.415,137.557
217,0,0.0140231,-0.00276335,-0.0112858,921.184,-519.448,137.519
218,0,0.0132354,-0.00251038,-0.0111465,921.17,-519.453,137.501
219,0,0.0132497,-0.00230347,-0.0112612,921.164,-519.444,137.483
220,0,0.0130145,-0.00264228,-0.0111315,921.166,-519.443,137.502
221,0,0.0132279,-0.0026002,-0.0110266,921.164,-519.441,137.482
222,0,0.0130957,-0.0025537,-0.0111593,921.171,-519.425,137.5
223,0,0.0141999,-0.00265075,-0.0113048,921.148,-519.47,137.458
224,0,0.0137075,-0.00250955,-0.0113675,921.141,-519.484,137.466
225,0,0.0138382,-0.00278628,-0.0115344,921.15,-519.481,137.48
226,0,0.014224,-0.00287961,-0.0114365,921.146,-519.482,137.454
227,0,0.0146105,-0.00241428,-0.0113043,921.144,-519.475,137.451
228,0,0.0138452,-0.00269996,-0.0114314,921.143,-519.466,137.449
229,0,0.0141094,-0.00249892,-0.0114574,921.148,-519.475,137.471
230,0,0.0143296,-0.00253581,-0.01154,921.144,-519.482,137.479
231,0,0.0139717,-0.00285026,-0.0114379,921.148,-519.492,137.468
232,0,0.0144279,-0.00255997,-0.0115606,921.138,-519.469,137.451
233,0,0.0138207,-0.00244307,-0.0114843,921.144,-519.471,137.465
234,0,0.0141532,-0.00271902,-0.0115126,921.152,-519.466,137.475
235,0,0.014198,-0.00259302,-0.0114895,921.146,-519.471,137.468
236,0,0.0139319,-0.00208965,-0.0122774,921.106,-519.461,137.46
237,0,0.013818,-0.00264773,-0.0114154,921.14,-519.482,137.461
238,0,0.0124566,-0.00282942,-0.0109097,921.078,-519.556,137.362
239,0,0.0120902,-0.0027345,-0.0109258,921.08,-519.524,137.365
240,0,0.0114777,-0.00287328,-0.0109281,921.059,-519.578,137.336
241,0,0.0116587,-0.00287971,-0.0108249,921.054,-519.585,137.34
242,0,0.0118761,-0.00291134,-0.0108307,921.058,-519.583,137.326
243,0,0.011527,-0.00283536,-0.0107164,921.055,-519.595,137.331
244,0,0.0113991,-0.00275815,-0.0108301,921.054,-519.576,137.321
245,0,0.0117561,-0.00288931,-0.0108458,921.054,-519.575,137.335
246,0,0.0115621,-0.00288365,-0.0107469,921.062,-519.583,137.338
247,0,0.0114789,-0.00280037,-0.010757,921.066,-519.581,137.333
248,0,0.0118799,-0.00289825,-0.0110197,921.062,-519.587,137.333
249,0,0.0118358,-0.0029811,-0.0107567,921.055,-519.589,137.33
250,0,0.0116263,-0.00305034,-0.0108001,921.059,-519.582,137.332
251,0,0.0116553,-0.00275213,-0.0108107,921.054,-519.58,137.335
252,0,0.0117517,-0.00288146,-0.010747,921.052,-519.582,137.323
253,0,0.0119207,-0.00307588,-0.0108432,921.049,-519.581,137.339
254,0,0.0117245,-0.00276577,-0.0108932,921.057,-519.588,137.332
255,0,0.0122926,-0.00283057,-0.0108386,921.068,-519.592,137.34
256,0,0.0116457,-0.00286925,-0.0106883,921.06,-519.583,137.338
257,0,0.011773,-0.00290229,-0.0107658,921.048,-519.589,137.327
258,0,0.0119941,-0.00261642,-0.010707,921.055,-519.585,137.332
259,0,0.0117757,-0.00279795,-0.0107671,921.05,-519.582,137.322
260,0,0.0116332,-0.00277096,-0.0107018,921.057,-519.582,137.333
261,0,0.0116959,-0.00282105,-0.0109241,921.059,-519.585,137.343
262,0,0.0116884,-0.00284004,-0.0108222,921.051,-519.582,137.334
263,0,0.011769,-0.0026974,-0.0109546,921.05,-519.579,137.334
264,0,0.0120164,-0.0029646,-0.0108379,921.063,-519.589,137.324
265,0,0.0118428,-0.00278674,-0.0108083,921.045,-519.585,137.339
266,0,0.011291,-0.00268538,-0.0108204,921.054,-519.589,137.335
267,0,0.0117849,-0.00272256,-0.0109057,921.048,-519.585,137.342
268,0,0.0115999,-0.00276131,-0.0106562,921.06,-519.588,137.337
269,0,0.0118956,-0.00289933,-0.0107048,921.056,-519.59,137.331
270,0,0.0115584,-0.0029588,-0.0109255,921.052,-519.584,137.332
271,0,0.0117572,-0.00282862,-0.0107786,921.063,-519.595,137.338
272,0,0.0109807,-0.00306724,-0.0107404,921.059,-519.584,137.334
273,0,0.0117226,-0.00282033,-0.0108445,921.058,-519.581,137.333
274,0,0.011402,-0.00278923,-0.0107605,921.049,-519.58,137.337
275,0,0.0113845,-0.00277951,-0.0107652,921.053,-519.589,137.325
276,0,0.0117365,-0.00279137,-0.0107812,921.05,-519.591,137.317
277,0,0.0119,-0.00291829,-0.010963,921.057,-519.585,137.341
278,0,0.0116127,-0.00292551,-0.0107242,921.051,-519.58,137.331
279,0,0.0115869,-0.00289175,-0.0107361,921.053,-519.588,137.33
280,0,0.0119581,-0.00274585,-0.0107202,921.049,-519.589,137.33
281,0,0.0118775,-0.00283432,-0.0108308,921.054,-519.587,137.326
282,0,0.0117363,-0.00310597,-0.01076,921.052,-519.594,137.332
283,0,0.0117033,-0.00288054,-0.0107616,921.058,-519.584,137.349
284,0,0.0115181,-0.00284076,-0.0110443,921.053,-519.581,137.328
285,0,0.0116541,-0.00294578,-0.0106604,921.051,-519.586,137.325
286,0,0.0119087,-0.00279664,-0.0108726,921.049,-519.582,137.331
287,0,0.0117331,-0.00282858,-0.0108844,921.047,-519.581,137.336
288,0,0.0115728,-0.00283786,-0.0108987,921.056,-519.581,137.336
289,0,0.0116242,-0.00305727,-0.0108542,921.053,-519.585,137.344
290,0,0.0117383,-0.00304389,-0.0108484,921.052,-519.586,137.332
291,0,0.011628,-0.00256365,-0.0107365,921.046,-519.571,137.328
292,0,0.0118449,-0.00278592,-0.0107112,921.06,-519.58,137.334
293,0,0.0113857,-0.00287704,-0.010764,921.052,-519.59,137.329
294,0,0.0120448,-0.0026924,-0.0108266,921.058,-519.586,137.334
295,0,0.0112946,-0.00268332,-0.0108978,921.056,-519.588,137.348
296,0,0.0118943,-0.00304782,-0.0108315,921.058,-519.585,137.325
297,0,0.0118242,-0.00294699,-0.0107817,921.048,-519.583,137.323
298,0,0.0117471,-0.00303304,-0.010818,921.056,-519.59,137.303
299,0,0.011769,-0.00281964,-0.0109097,921.055,-519.58,137.329
300,0,0.0113425,-0.00281056,-0.0105924,921.057,-519.574,137.359
301,0,0.0117965,-0.00302512,-0.0107103,921.054,-519.586,137.352
302,0,0.0118648,-0.00274969,-0.010824,921.052,-519.589,137.311
303,0,0.0118384,-0.0029405,-0.0107585,921.049,-519.602,137.28
304,0,0.011752,-0.00270618,-0.0107752,921.062,-519.581,137.313
305,0,0.0116706,-0.00287105,-0.0107716,921.06,-519.574,137.361
306,0,0.0113963,-0.00286027,-0.0106595,921.065,-519.574,137.364
307,0,0.0119067,-0.0029971,-0.0106325,921.061,-519.586,137.32
308,0,0.0112833,-0.00258498,-0.0109181,921.063,-519.594,137.294
309,0,0.0116476,-0.00259145,-0.0109091,921.06,-519.593,137.311
310,0,0.01116,-0.00281459,-0.0108359,921.059,-519.594,137.35
311,0,0.0116051,-0.0028607,-0.0107492,921.053,-519.579,137.338
312,0,0.0117384,-0.00306536,-0.0107244,921.065,-519.57,137.327
313,0,0.0119014,-0.00317596,-0.0107311,921.061,-519.576,137.302
314,0,0.0113044,-0.00292145,-0.010769,921.063,-519.599,137.315
315,0,0.0114659,-0.00263619,-0.0108411,921.053,-519.602,137.341
316,0,0.0120796,-0.00280425,-0.0108641,921.049,-519.586,137.327
317,0,0.0115749,-0.00289313,-0.0105447,921.062,-519.573,137.305
318,0,0.0116843,-0.00298426,-0.0107713,921.054,-519.563,137.312
319,0,0.0115069,-0.00289157,-0.010784,921.052,-519.591,137.328
320,0,0.0115366,-0.00282821,-0.0108384,921.054,-519.603,137.347
321,0,0.0115879,-0.00277388,-0.0107923,921.058,-519.599,137.33
322,0,0.0117394,-0.00290377,-0.010754,921.052,-519.573,137.299
323,0,0.0119937,-0.00302712,-0.0106438,921.059,-519.57,137.305
324,0,0.0116616,-0.00277747,-0.0108493,921.061,-519.584,137.351
325,0,0.0115587,-0.00293808,-0.0106985,921.05,-519.596,137.36
326,0,0.0119296,-0.00276104,-0.0108875,921.056,-519.593,137.32
327,0,0.0115987,-0.00278811,-0.0108765,921.049,-519.583,137.285
328,0,0.0119771,-0.00275736,-0.0108858,921.057,-519.586,137.302
329,0,0.0118765,-0.00301916,-0.0106606,921.062,-519.585,137.344
330,0,0.011984,-0.00280575,-0.0107251,921.058,-519.574,137.368
331,0,0.0111362,-0.00286929,-0.010757,921.054,-519.586,137.331
332,0,0.011641,-0.00301781,-0.0108152,921.06,-519.596,137.287
333,0,0.0118771,-0.0029773,-0.0108129,921.059,-519.593,137.299
334,0,0.0117231,-0.00293452,-0.0107756,921.06,-519.586,137.34
335,0,0.0118803,-0.00275937,-0.0108104,921.056,-519.574,137.35
336,0,0.0116027,-0.00286947,-0.0108586,921.052,-519.578,137.326
337,0,0.0118436,-0.00288512,-0.0107283,921.058,-519.581,137.303
338,0,0.0118095,-0.002817,-0.0107641,921.056,-519.598,137.303
339,0,0.0117677,-0.00306396,-0.0107968,921.053,-519.588,137.343
340,0,0.0115298,-0.00273295,-0.0108436,921.054,-519.585,137.343
341,0,0.0115389,-0.00281485,-0.0108157,921.054,-519.579,137.321
342,0,0.0116904,-0.00287385,-0.0105799,921.055,-519.58,137.304
343,0,0.0114021,-0.00254007,-0.0107321,921.051,-519.579,137.32
344,0,0.0117099,-0.0028185,-0.0107738,921.06,-519.589,137.349
345,0,0.0116356,-0.0027539,-0.0109249,921.056,-519.584,137.337
346,0,0.0116404,-0.00284964,-0.0108052,921.057,-519.579,137.318
347,0,0.0116019,-0.00282973,-0.0104494,921.055,-519.583,137.317
348,0,0.0114761,-0.00297197,-0.0107987,921.049,-519.577,137.312
349,0,0.0120624,-0.00288848,-0.0109596,921.061,-519.576,137.35
350,0,0.0115677,-0.00275772,-0.0107724,921.061,-519.586,137.343
351,0,0.0117987,-0.00295557,-0.0106249,921.05,-519.588,137.309
352,0,0.0116453,-0.00307201,-0.0106517,921.059,-519.58,137.303
353,0,0.0115837,-0.00293104,-0.0107609,921.062,-519.577,137.324
354,0,0.0117144,-0.00287972,-0.0108234,921.056,-519.584,137.34
